IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_CA_20080205_PRI_ALL_ALL_REG,USA_CA_20080205_PRI_ALL_ALL_VOTED,USA_CA_20080205_PRI_PROP98_YES,USA_CA_20080205_PRI_PROP98_NO,USA_CA_20080205_PRI_PROP99_YES,USA_CA_20080205_PRI_PROP99_NO
0,_Alameda,_06001204900,_204900,758,87,10,71,55,25
0,_Alameda,_06001204910,_204910,947,24,1,22,15,5
0,_Alameda,_06001204920,_204920,208,28,8,17,16,7
0,_Alameda,_06001205000,_205000,653,316,67,242,214,95
0,_Alameda,_06001205100,_205100,727,372,90,266,246,105
0,_Alameda,_06001205200,_205200,804,416,82,312,255,131
0,_Alameda,_06001205500,_205500,756,364,55,300,256,91
0,_Alameda,_06001205600,_205600,1136,547,103,421,405,111
0,_Alameda,_06001205700,_205700,825,412,66,333,287,109
0,_Alameda,_06001205800,_205800,643,336,67,260,244,75
0,_Alameda,_06001205900,_205900,933,457,69,379,340,96
0,_Alameda,_06001206000,_206000,605,292,57,228,215,66
0,_Alameda,_06001206100,_206100,1049,517,92,404,353,138
0,_Alameda,_06001206200,_206200,632,297,34,254,220,58
0,_Alameda,_06001206400,_206400,660,251,30,215,182,61
0,_Alameda,_06001206700,_206700,682,276,33,237,214,53
0,_Alameda,_06001206800,_206800,845,251,32,213,194,43
0,_Alameda,_06001207000,_207000,1031,482,61,402,355,106
0,_Alameda,_06001207100,_207100,498,295,24,260,221,62
0,_Alameda,_06001207200,_207200,597,325,34,284,247,64
0,_Alameda,_06001207300,_207300,565,214,24,180,164,40
0,_Alameda,_06001207500,_207500,616,250,31,216,195,48
0,_Alameda,_06001207600,_207600,1517,222,29,186,155,60
0,_Alameda,_06001207700,_207700,945,254,25,221,194,49
0,_Alameda,_06001208000,_208000,622,212,25,181,158,49
0,_Alameda,_06001208010,_208010,1056,408,48,344,309,78
0,_Alameda,_06001208100,_208100,561,218,28,185,167,41
0,_Alameda,_06001208110,_208110,591,242,32,198,182,48
0,_Alameda,_06001208200,_208200,639,260,34,221,206,47
0,_Alameda,_06001208210,_208210,713,237,36,194,182,45
0,_Alameda,_06001208300,_208300,806,304,63,230,205,77
0,_Alameda,_06001208310,_208310,615,174,28,136,121,42
0,_Alameda,_06001208400,_208400,765,242,38,195,173,58
0,_Alameda,_06001208500,_208500,500,197,24,164,148,36
0,_Alameda,_06001208510,_208510,989,378,49,321,271,91
0,_Alameda,_06001208600,_208600,373,151,15,132,112,33
0,_Alameda,_06001208610,_208610,992,317,62,247,233,68
0,_Alameda,_06001208700,_208700,876,258,31,217,178,67
0,_Alameda,_06001208710,_208710,454,131,26,98,97,26
0,_Alameda,_06001208800,_208800,837,201,42,147,128,63
0,_Alameda,_06001208810,_208810,802,223,43,177,162,54
0,_Alameda,_06001208900,_208900,825,226,52,161,154,58
0,_Alameda,_06001208910,_208910,763,220,51,153,148,54
0,_Alameda,_06001209000,_209000,683,292,52,232,216,63
0,_Alameda,_06001209010,_209010,792,297,48,236,219,59
0,_Alameda,_06001209100,_209100,698,255,38,209,197,50
0,_Alameda,_06001209110,_209110,654,311,34,268,250,49
0,_Alameda,_06001209200,_209200,908,351,47,289,266,73
0,_Alameda,_06001209300,_209300,1153,418,38,368,328,72
0,_Alameda,_06001209310,_209310,1132,505,86,407,367,118
0,_Alameda,_06001209400,_209400,921,465,58,393,366,75
0,_Alameda,_06001209410,_209410,665,294,36,246,229,51
0,_Alameda,_06001209510,_209510,969,424,79,329,309,96
0,_Alameda,_06001209600,_209600,744,271,65,189,176,80
0,_Alameda,_06001209610,_209610,658,188,29,153,150,33
0,_Alameda,_06001209700,_209700,755,301,54,237,210,77
0,_Alameda,_06001209710,_209710,783,250,46,196,164,71
0,_Alameda,_06001209800,_209800,673,200,28,163,136,55
0,_Alameda,_06001209900,_209900,578,167,19,142,135,29
0,_Alameda,_06001213000,_213000,395,164,60,94,94,61
0,_Alameda,_06001213100,_213100,988,442,116,301,303,107
0,_Alameda,_06001213300,_213300,1278,554,161,357,348,172
0,_Alameda,_06001213400,_213400,647,249,79,158,153,82
0,_Alameda,_06001213500,_213500,1114,477,151,304,279,166
0,_Alameda,_06001213600,_213600,752,277,53,216,195,71
0,_Alameda,_06001213700,_213700,721,265,51,205,170,82
0,_Alameda,_06001213800,_213800,895,447,109,292,248,147
0,_Alameda,_06001213900,_213900,629,299,72,201,177,96
0,_Alameda,_06001214100,_214100,749,341,84,240,216,100
0,_Alameda,_06001214200,_214200,1095,516,144,343,303,179
0,_Alameda,_06001214300,_214300,596,299,71,199,176,99
0,_Alameda,_06001214400,_214400,676,325,75,231,212,93
0,_Alameda,_06001214500,_214500,628,352,72,259,227,104
0,_Alameda,_06001214600,_214600,992,450,69,358,314,106
0,_Alameda,_06001214800,_214800,1103,520,74,435,396,101
0,_Alameda,_06001215100,_215100,1312,535,67,449,413,99
0,_Alameda,_06001215120,_215120,893,363,41,306,268,69
0,_Alameda,_06001215200,_215200,626,261,33,213,197,46
0,_Alameda,_06001215300,_215300,658,324,42,264,233,67
0,_Alameda,_06001215500,_215500,761,377,46,319,261,101
0,_Alameda,_06001215600,_215600,1021,365,56,288,251,79
0,_Alameda,_06001215610,_215610,659,219,44,167,163,44
0,_Alameda,_06001215700,_215700,816,319,41,270,237,69
0,_Alameda,_06001215800,_215800,714,176,22,150,136,29
0,_Alameda,_06001215900,_215900,478,113,23,85,73,32
0,_Alameda,_06001223000,_223000,702,273,50,213,193,66
0,_Alameda,_06001223010,_223010,872,368,37,322,286,66
0,_Alameda,_06001223200,_223200,550,243,29,205,178,53
0,_Alameda,_06001223300,_223300,1099,473,49,409,363,91
0,_Alameda,_06001223400,_223400,707,327,41,268,264,40
0,_Alameda,_06001224000,_224000,909,380,88,264,232,122
0,_Alameda,_06001224200,_224200,1285,617,112,465,407,155
0,_Alameda,_06001224300,_224300,596,259,47,193,165,72
0,_Alameda,_06001224500,_224500,1073,477,88,347,316,114
0,_Alameda,_06001224600,_224600,880,409,56,338,285,103
0,_Alameda,_06001224700,_224700,985,335,73,250,220,96
0,_Alameda,_06001224800,_224800,679,296,49,238,220,65
0,_Alameda,_06001225000,_225000,550,217,33,176,159,40
0,_Alameda,_06001225100,_225100,788,325,36,280,239,71
0,_Alameda,_06001225200,_225200,1295,473,50,414,353,104
0,_Alameda,_06001225400,_225400,1128,438,52,372,329,83
0,_Alameda,_06001225600,_225600,682,256,34,207,175,59
0,_Alameda,_06001225700,_225700,915,355,48,297,255,82
0,_Alameda,_06001225710,_225710,1005,377,61,303,270,91
0,_Alameda,_06001225810,_225810,635,191,27,162,150,35
0,_Alameda,_06001225900,_225900,815,350,69,268,234,98
0,_Alameda,_06001225910,_225910,1168,410,51,338,304,90
0,_Alameda,_06001226100,_226100,664,302,74,219,196,92
0,_Alameda,_06001226200,_226200,984,434,78,331,291,115
0,_Alameda,_06001226300,_226300,742,328,74,240,210,99
0,_Alameda,_06001226400,_226400,688,284,64,214,168,103
0,_Alameda,_06001244000,_244000,796,360,103,240,210,133
0,_Alameda,_06001244100,_244100,979,430,95,324,278,136
0,_Alameda,_06001244200,_244200,771,282,78,196,174,93
0,_Alameda,_06001244300,_244300,1100,496,126,348,317,152
0,_Alameda,_06001244400,_244400,850,319,81,231,214,95
0,_Alameda,_06001244500,_244500,758,314,82,217,208,88
0,_Alameda,_06001244600,_244600,600,236,65,166,146,84
0,_Alameda,_06001244700,_244700,879,362,101,248,226,120
0,_Alameda,_06001244800,_244800,808,340,94,234,193,124
0,_Alameda,_06001244900,_244900,676,277,73,196,176,86
0,_Alameda,_06001245000,_245000,733,301,84,205,198,85
0,_Alameda,_06001245100,_245100,767,337,81,246,224,103
0,_Alameda,_06001245200,_245200,1251,581,185,384,349,206
0,_Alameda,_06001260100,_260100,843,276,66,197,180,82
0,_Alameda,_06001260300,_260300,733,178,20,153,132,38
0,_Alameda,_06001260400,_260400,675,230,50,169,161,55
0,_Alameda,_06001260610,_260610,701,249,60,175,176,57
0,_Alameda,_06001260800,_260800,718,287,55,226,184,96
0,_Alameda,_06001260900,_260900,851,353,59,283,253,85
0,_Alameda,_06001261000,_261000,812,369,53,300,259,91
0,_Alameda,_06001261300,_261300,823,317,55,252,227,72
0,_Alameda,_06001261400,_261400,628,242,40,191,160,67
0,_Alameda,_06001261600,_261600,782,302,53,236,220,68
0,_Alameda,_06001261700,_261700,653,288,55,226,194,81
0,_Alameda,_06001262000,_262000,859,391,55,318,285,89
0,_Alameda,_06001262100,_262100,719,375,60,303,260,96
0,_Alameda,_06001280100,_280100,1522,542,152,366,317,184
0,_Alameda,_06001280500,_280500,1478,519,216,287,271,222
0,_Alameda,_06001280700,_280700,1551,576,164,398,319,234
0,_Alameda,_06001281000,_281000,1383,493,191,275,276,190
0,_Alameda,_06001281300,_281300,1122,415,126,273,237,155
0,_Alameda,_06001281600,_281600,1074,415,113,289,247,153
0,_Alameda,_06001300000,_300000,649,318,114,170,195,84
0,_Alameda,_06001300100,_300100,1069,630,216,365,364,219
0,_Alameda,_06001300110,_300110,769,349,91,233,193,130
0,_Alameda,_06001300120,_300120,508,238,69,153,147,78
0,_Alameda,_06001300130,_300130,803,424,146,252,247,146
0,_Alameda,_06001300140,_300140,1017,498,175,270,272,165
0,_Alameda,_06001300150,_300150,891,470,153,259,259,151
0,_Alameda,_06001300170,_300170,604,323,118,169,158,131
0,_Alameda,_06001300180,_300180,704,363,128,202,213,118
0,_Alameda,_06001300200,_300200,544,251,98,127,129,87
0,_Alameda,_06001300210,_300210,812,437,161,242,220,176
0,_Alameda,_06001300300,_300300,747,384,118,226,217,128
0,_Alameda,_06001300400,_300400,666,353,121,210,181,148
0,_Alameda,_06001300800,_300800,1247,747,233,434,385,277
0,_Alameda,_06001301100,_301100,681,394,119,237,224,120
0,_Alameda,_06001301200,_301200,711,365,106,230,233,100
0,_Alameda,_06001301400,_301400,716,358,106,222,206,121
0,_Alameda,_06001301510,_301510,642,324,96,208,189,117
0,_Alameda,_06001301520,_301520,1256,446,111,312,268,152
0,_Alameda,_06001301800,_301800,802,360,102,241,206,135
0,_Alameda,_06001301900,_301900,838,312,92,194,186,98
0,_Alameda,_06001302000,_302000,925,381,104,250,219,134
0,_Alameda,_06001302100,_302100,673,238,67,146,147,65
0,_Alameda,_06001302200,_302200,678,403,104,258,220,140
0,_Alameda,_06001302300,_302300,578,193,67,116,120,63
0,_Alameda,_06001302400,_302400,672,225,60,150,165,44
0,_Alameda,_06001302500,_302500,614,213,54,143,132,61
0,_Alameda,_06001302510,_302510,725,257,87,152,147,87
0,_Alameda,_06001302700,_302700,760,269,60,197,168,89
0,_Alameda,_06001303000,_303000,758,320,95,203,188,104
0,_Alameda,_06001303300,_303300,1097,460,186,235,267,156
0,_Alameda,_06001303400,_303400,699,409,137,243,226,150
0,_Alameda,_06001303500,_303500,671,294,87,193,159,116
0,_Alameda,_06001303600,_303600,1311,487,120,340,314,140
0,_Alameda,_06001303800,_303800,730,309,103,193,197,89
0,_Alameda,_06001304000,_304000,717,346,102,215,200,118
0,_Alameda,_06001304100,_304100,552,180,56,112,114,54
0,_Alameda,_06001304120,_304120,705,274,92,168,162,95
0,_Alameda,_06001304200,_304200,639,365,121,214,184,145
0,_Alameda,_06001304500,_304500,752,255,77,166,162,75
0,_Alameda,_06001304600,_304600,868,321,72,219,198,83
0,_Alameda,_06001304700,_304700,711,267,82,165,166,77
0,_Alameda,_06001304800,_304800,885,315,94,203,191,102
0,_Alameda,_06001304900,_304900,697,241,83,146,156,69
0,_Alameda,_06001305000,_305000,686,243,63,163,171,58
0,_Alameda,_06001305010,_305010,886,409,102,282,283,98
0,_Alameda,_06001305100,_305100,1491,394,130,240,214,150
0,_Alameda,_06001305400,_305400,721,332,94,215,202,102
0,_Alameda,_06001305410,_305410,633,226,66,144,151,61
0,_Alameda,_06001305600,_305600,903,306,91,188,194,85
0,_Alameda,_06001305700,_305700,825,318,87,208,225,70
0,_Alameda,_06001310000,_310000,691,219,59,151,158,52
0,_Alameda,_06001310100,_310100,1008,248,67,170,187,51
0,_Alameda,_06001310200,_310200,649,183,26,143,131,32
0,_Alameda,_06001310300,_310300,703,201,46,143,135,49
0,_Alameda,_06001310400,_310400,702,189,40,138,134,41
0,_Alameda,_06001310500,_310500,561,180,40,131,129,39
0,_Alameda,_06001310600,_310600,762,209,34,167,148,49
0,_Alameda,_06001310700,_310700,1139,308,67,225,219,60
0,_Alameda,_06001310900,_310900,1362,455,70,369,338,87
0,_Alameda,_06001311100,_311100,1239,460,72,374,355,83
0,_Alameda,_06001311200,_311200,1194,351,63,266,255,77
0,_Alameda,_06001311400,_311400,808,199,52,132,124,49
0,_Alameda,_06001311510,_311510,1207,330,82,230,229,83
0,_Alameda,_06001311700,_311700,1196,281,71,192,182,78
0,_Alameda,_06001323000,_323000,687,257,40,215,183,64
0,_Alameda,_06001323200,_323200,960,384,93,277,254,110
0,_Alameda,_06001325000,_325000,650,188,19,166,150,32
0,_Alameda,_06001325100,_325100,1224,357,61,287,243,97
0,_Alameda,_06001325200,_325200,893,304,34,261,195,93
0,_Alameda,_06001325300,_325300,1059,415,70,310,310,78
0,_Alameda,_06001325400,_325400,672,196,16,171,134,50
0,_Alameda,_06001325500,_325500,702,296,43,228,200,68
0,_Alameda,_06001325510,_325510,1291,386,53,313,277,92
0,_Alameda,_06001325600,_325600,744,312,53,250,240,59
0,_Alameda,_06001325700,_325700,1174,444,39,384,329,94
0,_Alameda,_06001325800,_325800,1133,438,55,357,300,104
0,_Alameda,_06001333100,_333100,919,339,57,261,244,74
0,_Alameda,_06001333200,_333200,1420,488,82,384,355,111
0,_Alameda,_06001333400,_333400,620,195,43,137,134,45
0,_Alameda,_06001333410,_333410,1173,355,74,265,227,111
0,_Alameda,_06001333500,_333500,1108,364,57,288,252,84
0,_Alameda,_06001333510,_333510,648,211,40,162,150,49
0,_Alameda,_06001333600,_333600,516,210,28,168,134,61
0,_Alameda,_06001333800,_333800,1167,328,44,264,237,66
0,_Alameda,_06001333900,_333900,1056,300,45,228,212,68
0,_Alameda,_06001334000,_334000,853,168,51,109,103,55
0,_Alameda,_06001334100,_334100,1039,223,55,158,162,48
0,_Alameda,_06001334600,_334600,1155,321,81,219,196,100
0,_Alameda,_06001334700,_334700,544,154,31,109,102,43
0,_Alameda,_06001335000,_335000,1109,306,67,208,200,78
0,_Alameda,_06001335100,_335100,814,208,53,142,146,45
0,_Alameda,_06001335200,_335200,554,140,34,93,75,50
0,_Alameda,_06001335300,_335300,788,168,23,139,121,38
0,_Alameda,_06001335400,_335400,634,159,45,106,110,38
0,_Alameda,_06001335500,_335500,740,161,32,115,112,31
0,_Alameda,_06001335600,_335600,675,149,43,94,89,45
0,_Alameda,_06001335700,_335700,1019,335,73,237,240,66
0,_Alameda,_06001335800,_335800,658,152,37,103,102,36
0,_Alameda,_06001335900,_335900,777,160,26,120,105,41
0,_Alameda,_06001336100,_336100,714,182,27,131,121,34
0,_Alameda,_06001336200,_336200,795,188,35,135,124,47
0,_Alameda,_06001336400,_336400,699,201,48,146,148,44
0,_Alameda,_06001336500,_336500,664,170,40,114,113,40
0,_Alameda,_06001336600,_336600,1055,243,50,172,157,67
0,_Alameda,_06001336610,_336610,622,151,28,104,93,37
0,_Alameda,_06001336710,_336710,1284,346,79,232,217,89
0,_Alameda,_06001336810,_336810,360,159,34,101,95,38
0,_Alameda,_06001336900,_336900,459,149,22,120,101,38
0,_Alameda,_06001337000,_337000,735,218,49,145,157,42
0,_Alameda,_06001337100,_337100,774,216,43,154,136,55
0,_Alameda,_06001337110,_337110,604,280,54,187,221,23
0,_Alameda,_06001344000,_344000,1075,278,74,184,175,85
0,_Alameda,_06001344010,_344010,658,166,47,106,107,42
0,_Alameda,_06001344100,_344100,1177,380,76,273,248,103
0,_Alameda,_06001344200,_344200,1078,351,106,225,230,101
0,_Alameda,_06001344300,_344300,728,290,51,228,199,76
0,_Alameda,_06001344400,_344400,640,286,74,193,180,86
0,_Alameda,_06001344500,_344500,651,200,40,150,143,48
0,_Alameda,_06001344600,_344600,655,237,34,191,171,57
0,_Alameda,_06001344700,_344700,594,248,49,190,174,66
0,_Alameda,_06001344800,_344800,597,243,74,155,153,75
0,_Alameda,_06001344900,_344900,883,348,90,239,231,97
0,_Alameda,_06001345000,_345000,805,242,64,168,162,68
0,_Alameda,_06001345100,_345100,909,258,61,181,169,67
0,_Alameda,_06001345200,_345200,811,271,56,199,186,67
0,_Alameda,_06001345310,_345310,741,271,66,195,171,83
0,_Alameda,_06001345400,_345400,948,322,88,218,207,98
0,_Alameda,_06001345500,_345500,643,230,58,164,154,63
0,_Alameda,_06001345600,_345600,709,295,69,217,201,78
0,_Alameda,_06001345700,_345700,754,294,60,217,180,91
0,_Alameda,_06001345800,_345800,415,154,50,95,100,41
0,_Alameda,_06001345900,_345900,696,255,79,169,162,83
0,_Alameda,_06001346000,_346000,464,125,27,90,72,44
0,_Alameda,_06001346100,_346100,785,221,68,149,152,60
0,_Alameda,_06001346200,_346200,545,113,25,82,68,35
0,_Alameda,_06001346400,_346400,538,146,38,103,101,43
0,_Alameda,_06001347100,_347100,646,198,52,135,137,53
0,_Alameda,_06001347110,_347110,740,169,64,95,105,51
0,_Alameda,_06001347200,_347200,942,194,68,121,135,53
0,_Alameda,_06001347300,_347300,551,143,38,96,93,38
0,_Alameda,_06001353300,_353300,480,143,21,116,107,28
0,_Alameda,_06001353310,_353310,970,259,66,189,173,78
0,_Alameda,_06001353400,_353400,766,210,39,160,155,46
0,_Alameda,_06001353500,_353500,875,311,68,225,201,91
0,_Alameda,_06001353600,_353600,752,218,35,176,160,48
0,_Alameda,_06001353800,_353800,469,112,43,64,90,19
0,_Alameda,_06001353900,_353900,1065,234,83,141,163,55
0,_Alameda,_06001354000,_354000,1098,233,72,155,155,66
0,_Alameda,_06001354100,_354100,1287,403,84,281,276,84
0,_Alameda,_06001354110,_354110,591,242,63,163,171,56
0,_Alameda,_06001354300,_354300,1068,214,60,130,115,69
0,_Alameda,_06001354400,_354400,774,176,56,112,111,46
0,_Alameda,_06001354500,_354500,1274,277,75,174,155,96
0,_Alameda,_06001354700,_354700,728,169,56,90,99,50
0,_Alameda,_06001354900,_354900,582,151,34,98,91,41
0,_Alameda,_06001354910,_354910,734,243,59,139,131,64
0,_Alameda,_06001355100,_355100,1090,314,95,198,197,91
0,_Alameda,_06001356000,_356000,894,231,69,149,146,69
0,_Alameda,_06001356200,_356200,906,268,64,179,159,82
0,_Alameda,_06001356210,_356210,963,322,82,225,215,86
0,_Alameda,_06001356400,_356400,438,123,28,85,76,40
0,_Alameda,_06001356500,_356500,1111,342,99,217,204,114
0,_Alameda,_06001361000,_361000,379,82,15,62,46,30
0,_Alameda,_06001361100,_361100,504,94,23,68,59,28
0,_Alameda,_06001361110,_361110,562,131,35,84,69,46
0,_Alameda,_06001361200,_361200,540,103,29,70,62,34
0,_Alameda,_06001361400,_361400,933,187,56,114,126,46
0,_Alameda,_06001361500,_361500,541,128,27,87,83,30
0,_Alameda,_06001362100,_362100,596,156,45,103,109,38
0,_Alameda,_06001362110,_362110,1123,217,76,118,128,62
0,_Alameda,_06001362300,_362300,1226,274,86,162,166,79
0,_Alameda,_06001362510,_362510,902,218,64,144,125,77
0,_Alameda,_06001362600,_362600,832,249,68,170,164,67
0,_Alameda,_06001362700,_362700,631,198,56,134,132,56
0,_Alameda,_06001362800,_362800,1412,473,107,332,301,138
0,_Alameda,_06001362900,_362900,712,154,40,106,101,41
0,_Alameda,_06001363000,_363000,1085,260,88,154,170,62
0,_Alameda,_06001363100,_363100,1007,274,91,165,168,84
0,_Alameda,_06001363200,_363200,635,160,36,112,96,45
0,_Alameda,_06001363310,_363310,1280,316,70,232,208,83
0,_Alameda,_06001363600,_363600,1135,231,63,156,151,65
0,_Alameda,_06001364200,_364200,1236,599,215,358,364,202
0,_Alameda,_06001364300,_364300,589,238,69,163,150,77
0,_Alameda,_06001364310,_364310,641,223,89,118,104,102
0,_Alameda,_06001364400,_364400,725,223,77,138,138,75
0,_Alameda,_06001364510,_364510,810,356,109,216,240,88
0,_Alameda,_06001364600,_364600,943,294,63,221,197,86
0,_Alameda,_06001364700,_364700,837,220,62,150,156,53
0,_Alameda,_06001364800,_364800,682,141,42,92,97,37
0,_Alameda,_06001364900,_364900,1264,462,118,325,302,137
0,_Alameda,_06001365000,_365000,541,127,29,92,91,30
0,_Alameda,_06001365200,_365200,1060,243,77,152,152,76
0,_Alameda,_06001373100,_373100,763,199,64,111,110,61
0,_Alameda,_06001373400,_373400,1175,204,59,118,131,47
0,_Alameda,_06001373500,_373500,682,135,44,85,93,30
0,_Alameda,_06001373900,_373900,1000,259,74,173,158,89
0,_Alameda,_06001380200,_380200,1004,272,50,209,183,71
0,_Alameda,_06001380300,_380300,1000,229,38,185,170,50
0,_Alameda,_06001380400,_380400,1089,229,39,183,153,66
0,_Alameda,_06001380600,_380600,1003,372,77,287,265,95
0,_Alameda,_06001380700,_380700,785,176,58,113,116,55
0,_Alameda,_06001400100,_400100,663,309,70,224,196,93
0,_Alameda,_06001400200,_400200,748,352,119,209,216,103
0,_Alameda,_06001400300,_400300,796,377,120,234,234,119
0,_Alameda,_06001400400,_400400,564,237,84,147,161,67
0,_Alameda,_06001400500,_400500,521,179,46,124,119,52
0,_Alameda,_06001400600,_400600,670,302,105,187,182,108
0,_Alameda,_06001400700,_400700,740,294,103,175,170,108
0,_Alameda,_06001400800,_400800,679,190,58,127,118,63
0,_Alameda,_06001400900,_400900,1283,470,123,326,305,144
0,_Alameda,_06001401100,_401100,1261,333,104,209,212,104
0,_Alameda,_06001410100,_410100,736,181,44,122,115,44
0,_Alameda,_06001410110,_410110,659,129,33,85,76,40
0,_Alameda,_06001410200,_410200,586,105,32,61,59,32
0,_Alameda,_06001410300,_410300,409,107,17,79,72,21
0,_Alameda,_06001410400,_410400,1368,374,99,259,233,120
0,_Alameda,_06001410500,_410500,659,172,39,117,97,55
0,_Alameda,_06001410600,_410600,854,242,65,156,159,65
0,_Alameda,_06001415000,_415000,796,143,37,93,93,40
0,_Alameda,_06001415200,_415200,597,141,31,105,78,55
0,_Alameda,_06001415300,_415300,1028,261,68,172,164,71
0,_Alameda,_06001415500,_415500,692,154,44,97,93,50
0,_Alameda,_06001415600,_415600,796,198,48,134,114,60
0,_Alameda,_06001415800,_415800,625,139,33,89,91,33
0,_Alameda,_06001415900,_415900,532,163,45,93,92,45
0,_Alameda,_06001420500,_420500,798,190,63,124,119,64
0,_Alameda,_06001420600,_420600,801,318,80,228,233,73
0,_Alameda,_06001420900,_420900,583,147,43,100,93,50
0,_Alameda,_06001421000,_421000,1490,438,134,285,265,159
0,_Alameda,_06001421100,_421100,769,212,49,156,127,78
0,_Alameda,_06001421200,_421200,574,184,57,121,115,62
0,_Alameda,_06001421300,_421300,621,206,72,132,126,74
0,_Alameda,_06001421400,_421400,950,244,79,159,159,80
0,_Alameda,_06001421510,_421510,883,236,85,141,145,80
0,_Alameda,_06001421700,_421700,1179,361,122,219,208,137
0,_Alameda,_06001421900,_421900,1056,168,64,91,103,53
0,_Alameda,_06001422000,_422000,909,348,126,205,217,111
0,_Alameda,_06001422100,_422100,1161,376,116,243,229,130
0,_Alameda,_06001422300,_422300,1113,304,84,205,197,95
0,_Alameda,_06001422600,_422600,1229,273,100,167,161,104
0,_Alameda,_06001422700,_422700,1056,338,74,252,226,98
0,_Alameda,_06001422810,_422810,872,207,78,123,126,76
0,_Alameda,_06001422900,_422900,956,299,77,215,214,74
0,_Alameda,_06001422910,_422910,1121,293,122,158,177,103
0,_Alameda,_06001422920,_422920,684,125,73,47,78,43
0,_Alameda,_06001423000,_423000,769,161,68,85,94,62
0,_Alameda,_06001423100,_423100,804,189,65,116,117,61
0,_Alameda,_06001423400,_423400,1135,363,81,269,260,89
0,_Alameda,_06001423600,_423600,639,386,33,347,336,42
0,_Alameda,_06001423610,_423610,1340,549,76,462,448,93
0,_Alameda,_06001423710,_423710,878,200,51,141,140,55
0,_Alameda,_06001424000,_424000,1219,294,94,189,167,113
0,_Alameda,_06001424100,_424100,601,185,57,114,108,63
0,_Alameda,_06001424300,_424300,1128,260,83,161,178,67
0,_Alameda,_06001424400,_424400,1028,300,88,194,159,125
0,_Alameda,_06001430100,_430100,916,170,69,98,110,54
0,_Alameda,_06001430400,_430400,364,102,27,70,60,35
0,_Alameda,_06001430600,_430600,1060,256,66,170,155,87
0,_Alameda,_06001430700,_430700,679,184,54,124,121,60
0,_Alameda,_06001430800,_430800,465,125,30,91,87,36
0,_Alameda,_06001430900,_430900,581,146,48,94,93,50
0,_Alameda,_06001431100,_431100,1000,285,93,180,184,88
0,_Alameda,_06001431800,_431800,1085,292,68,213,190,88
0,_Alameda,_06001432000,_432000,572,154,37,108,96,48
0,_Alameda,_06001432110,_432110,1012,215,76,128,124,80
0,_Alameda,_06001432200,_432200,754,156,47,101,97,49
