IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_CA_20121106_GEN_REGVOTED_ALL,USA_CA_20121106_GEN_REGVOTED_AFF_DEM,USA_CA_20121106_GEN_REGVOTED_AFF_REP,USA_CA_20121106_GEN_REGVOTED_AFF_OTH,USA_CA_20121106_GEN_REGVOTED_AFF_DCL,USA_CA_20121106_GEN_REGVOTED_SEX_MALE,USA_CA_20121106_GEN_REGVOTED_SEX_FEMALE,USA_CA_20121106_GEN_REGVOTED_NAT_HISP,USA_CA_20121106_GEN_REGVOTED_NAT_JEW,USA_CA_20121106_GEN_REGVOTED_NAT_ASI,USA_CA_20121106_GEN_REGVOTED_NAT_OTH,USA_CA_20121106_GEN_REGVOTED_AGE_1824,USA_CA_20121106_GEN_REGVOTED_AGE_2534,USA_CA_20121106_GEN_REGVOTED_AGE_3544,USA_CA_20121106_GEN_REGVOTED_AGE_4554,USA_CA_20121106_GEN_REGVOTED_AGE_5564,USA_CA_20121106_GEN_REGVOTED_AGE_65PL,USA_CA_20121106_GEN_REGVOTED_REG_CYC1_G10,USA_CA_20121106_GEN_REGVOTED_REG_CYC2_G08,USA_CA_20121106_GEN_REGVOTED_REG_CYC3_G06,USA_CA_20121106_GEN_REGVOTED_REG_CYC4_G04,USA_CA_20121106_GEN_REGVOTED_REG_CYC5_G02,USA_CA_20121106_GEN_REGVOTED_REG_CYC6_G00,USA_CA_20121106_GEN_REGVOTED_REG_CYC7_G98,USA_CA_20121106_GEN_REGVOTED_REG_CYC8_G96,USA_CA_20121106_GEN_REGVOTED_REG_CYCN_NON
0,_Alameda,_06001209110,_209110,578,434,15,62,67,266,312,48,46,34,450,53,96,89,111,116,112,158,65,85,43,54,17,31,13,112
0,_Alameda,_06001209200,_209200,798,575,23,98,102,355,443,57,53,46,642,71,164,128,102,121,212,278,117,100,55,57,27,26,10,128
0,_Alameda,_06001209300,_209300,908,591,32,136,149,444,464,97,67,66,678,86,257,162,146,145,112,305,115,130,62,74,27,33,17,145
0,_Alameda,_06001209310,_209310,987,722,21,95,149,441,546,54,60,95,778,53,187,182,150,217,198,236,132,121,68,69,30,29,28,274
0,_Alameda,_06001209400,_209400,830,616,20,77,117,368,462,36,71,99,624,45,114,167,152,163,189,195,85,100,60,76,37,28,33,216
0,_Alameda,_06001209410,_209410,563,418,17,65,63,248,315,25,51,45,442,32,73,99,118,116,125,122,64,75,41,44,22,31,17,147
0,_Alameda,_06001209510,_209510,830,610,18,67,135,371,459,35,80,56,659,48,112,163,179,182,146,202,103,116,58,71,29,39,30,182
0,_Alameda,_06001209600,_209600,665,469,21,74,101,301,364,118,34,43,470,43,111,148,131,130,102,151,105,110,44,68,22,22,18,125
0,_Alameda,_06001209610,_209610,452,296,12,73,71,229,223,28,27,15,382,24,78,86,73,109,82,146,56,77,25,35,13,20,14,66
0,_Alameda,_06001209700,_209700,659,450,22,79,108,309,350,115,37,29,478,48,126,115,122,142,106,206,73,99,40,68,21,35,13,104
0,_Alameda,_06001209710,_209710,619,458,23,60,78,279,340,101,24,25,469,64,126,123,105,128,73,192,87,101,38,52,14,24,17,94
0,_Alameda,_06001209800,_209800,592,411,12,68,101,269,323,71,43,29,449,62,137,108,120,91,74,205,86,93,32,47,23,13,19,74
0,_Alameda,_06001209900,_209900,581,398,21,81,81,313,268,45,34,34,468,31,143,117,97,97,96,206,110,84,40,29,12,21,12,67
0,_Alameda,_06001213100,_213100,882,548,92,72,170,444,438,29,118,52,683,48,84,105,150,248,247,169,117,108,66,78,38,54,49,203
0,_Alameda,_06001213300,_213300,1090,632,168,95,195,498,592,32,84,127,847,33,141,136,199,241,340,265,128,170,89,86,48,56,58,190
0,_Alameda,_06001213400,_213400,569,346,73,48,102,295,274,23,43,30,473,16,36,113,129,157,118,116,86,76,44,54,23,29,16,125
0,_Alameda,_06001213500,_213500,984,609,161,69,145,489,495,44,79,137,724,62,51,180,244,223,224,163,102,151,68,92,48,70,54,236
0,_Alameda,_06001213600,_213600,673,418,64,59,132,341,332,24,63,41,545,36,42,131,172,170,122,111,82,103,64,68,25,33,20,167
0,_Alameda,_06001213700,_213700,617,434,58,36,89,311,306,31,36,37,513,23,74,114,136,150,120,107,61,103,46,58,32,35,17,158
0,_Alameda,_06001213800,_213800,878,599,102,38,139,428,450,20,68,74,716,46,58,141,221,211,201,129,88,131,73,83,62,49,38,225
0,_Alameda,_06001213900,_213900,488,330,74,25,59,231,257,10,43,31,404,27,27,113,103,121,97,74,63,65,28,43,24,20,21,150
0,_Alameda,_06001214100,_214100,673,432,79,58,104,315,358,23,53,40,557,35,65,129,139,125,180,141,73,80,37,61,26,42,39,174
0,_Alameda,_06001214200,_214200,964,629,137,54,144,470,494,32,94,64,774,44,135,178,182,188,237,187,125,117,82,89,29,61,42,232
0,_Alameda,_06001214300,_214300,547,353,73,39,82,272,275,12,51,36,448,21,40,91,114,138,143,76,57,85,43,73,18,39,11,145
0,_Alameda,_06001214400,_214400,622,426,70,44,82,309,313,27,72,44,479,37,72,116,101,137,159,144,70,82,38,46,30,22,17,173
0,_Alameda,_06001214500,_214500,537,394,33,32,78,257,280,22,46,25,444,11,45,119,100,112,150,86,65,62,52,47,20,29,19,157
0,_Alameda,_06001214600,_214600,862,608,50,83,121,417,445,35,97,53,677,39,196,167,123,138,199,252,124,123,62,61,29,25,22,164
0,_Alameda,_06001214800,_214800,919,631,47,94,147,444,475,53,70,73,723,19,208,226,160,162,144,228,108,139,73,76,26,26,36,207
0,_Alameda,_06001215100,_215100,892,630,7,107,148,405,487,52,67,54,719,57,231,248,141,103,112,294,130,143,62,79,36,31,20,97
0,_Alameda,_06001215120,_215120,961,687,30,103,141,443,518,41,123,64,733,40,244,205,148,145,179,300,128,140,62,69,26,30,24,182
0,_Alameda,_06001215200,_215200,617,431,13,84,89,276,341,25,47,25,520,30,195,130,97,84,81,192,83,97,49,52,9,20,19,96
0,_Alameda,_06001215300,_215300,875,608,42,70,155,400,475,46,87,61,681,26,173,210,166,156,144,223,113,126,65,69,26,44,31,178
0,_Alameda,_06001215500,_215500,596,428,24,55,89,258,338,28,60,39,469,30,111,127,100,117,111,143,92,92,45,44,14,18,16,132
0,_Alameda,_06001215610,_215610,1053,689,33,161,170,485,568,60,96,60,837,53,325,282,150,140,102,375,183,173,57,79,28,30,26,102
0,_Alameda,_06001215700,_215700,691,437,16,102,136,310,381,44,49,51,547,34,217,166,114,93,67,237,112,96,45,59,29,23,16,74
0,_Alameda,_06001215800,_215800,580,379,13,90,98,257,323,48,33,30,469,48,265,115,65,45,42,249,98,100,34,33,8,9,4,45
0,_Alameda,_06001215900,_215900,397,233,19,76,69,180,217,25,15,30,327,38,163,79,57,42,18,164,63,65,22,19,14,13,8,29
0,_Alameda,_06001223000,_223000,537,366,26,68,77,240,297,34,37,36,430,32,145,89,78,68,125,203,73,83,38,40,10,17,10,63
0,_Alameda,_06001223010,_223010,770,494,31,105,140,338,432,44,65,45,616,35,196,163,98,140,138,221,138,100,61,67,21,29,16,117
0,_Alameda,_06001223200,_223200,1081,706,47,145,183,482,599,58,75,63,885,40,286,257,166,167,165,368,174,172,69,83,25,35,20,135
0,_Alameda,_06001223300,_223300,726,488,35,87,116,325,401,50,52,49,575,35,164,169,135,111,112,223,112,97,58,60,23,32,21,100
0,_Alameda,_06001223400,_223400,564,406,32,46,80,200,364,27,40,41,456,9,112,74,45,43,281,197,91,82,50,48,17,20,5,54
0,_Alameda,_06001224000,_224000,800,555,66,49,130,361,439,35,75,56,634,30,80,175,171,165,179,135,85,112,57,85,36,47,31,212
0,_Alameda,_06001224200,_224200,1119,779,67,87,186,516,603,49,103,98,869,29,133,262,251,223,221,208,130,203,82,107,48,54,30,257
0,_Alameda,_06001224400,_224400,381,256,24,30,71,168,213,28,15,55,283,11,63,110,63,72,62,89,49,65,32,33,15,14,9,75
0,_Alameda,_06001224500,_224500,962,661,50,92,159,436,526,57,57,122,726,41,118,203,190,230,180,201,137,159,69,89,41,39,26,201
0,_Alameda,_06001224600,_224600,739,538,43,46,112,327,412,38,58,63,580,32,86,140,171,188,122,132,158,105,40,58,29,38,13,166
0,_Alameda,_06001224700,_224700,765,558,33,68,106,352,413,39,47,76,603,25,91,160,166,161,162,192,100,144,44,70,22,32,24,137
0,_Alameda,_06001224800,_224800,394,284,21,31,58,169,225,25,27,32,310,17,59,78,82,93,65,65,45,87,31,34,22,21,12,77
0,_Alameda,_06001225000,_225000,465,340,15,42,68,219,246,30,46,29,360,16,113,122,81,77,56,134,77,81,32,50,13,17,11,50
0,_Alameda,_06001225100,_225100,682,477,14,72,119,288,394,43,53,33,553,33,177,177,109,104,82,209,134,99,59,52,19,17,12,81
0,_Alameda,_06001225200,_225200,464,295,8,84,77,231,233,30,22,34,378,14,181,125,55,56,33,193,62,84,29,38,15,15,3,25
0,_Alameda,_06001225400,_225400,993,692,38,106,157,457,536,76,60,70,787,50,279,219,143,165,137,350,142,147,76,88,35,28,17,110
0,_Alameda,_06001225600,_225600,578,386,26,78,88,262,316,39,32,58,449,24,151,136,81,108,78,200,80,74,39,57,17,29,12,70
0,_Alameda,_06001225700,_225700,759,511,35,89,124,345,414,34,47,45,633,31,182,173,124,146,103,239,106,114,53,55,25,36,19,112
0,_Alameda,_06001225710,_225710,852,598,43,82,129,368,484,61,61,68,662,23,178,192,159,129,171,235,146,140,78,76,31,34,22,90
0,_Alameda,_06001225810,_225810,536,365,15,72,84,237,299,28,42,47,419,24,176,146,74,61,55,199,86,77,41,41,15,15,13,49
0,_Alameda,_06001225900,_225900,711,513,37,49,112,341,370,25,53,68,565,39,65,141,146,167,153,107,95,94,56,65,41,43,34,176
0,_Alameda,_06001225910,_225910,1000,698,41,116,145,437,563,54,73,95,778,31,291,236,154,164,124,323,177,147,68,69,16,49,17,134
0,_Alameda,_06001226100,_226100,625,434,65,35,91,299,326,19,72,41,493,37,42,114,114,161,157,89,69,83,41,50,35,36,21,201
0,_Alameda,_06001226200,_226200,835,608,51,49,127,409,426,24,74,55,682,40,94,182,182,182,155,162,114,118,60,68,42,24,27,220
0,_Alameda,_06001226300,_226300,638,440,66,42,90,294,344,23,59,61,495,32,65,119,134,145,143,113,83,73,40,58,27,30,17,197
0,_Alameda,_06001226400,_226400,582,396,75,28,83,287,295,18,51,44,469,27,44,144,90,136,141,71,68,75,48,64,19,21,22,194
0,_Alameda,_06001244000,_244000,694,457,101,44,92,344,350,20,63,40,571,20,47,103,156,166,202,113,88,76,62,47,38,39,27,204
0,_Alameda,_06001244100,_244100,857,556,89,64,148,424,433,38,84,56,679,21,68,170,175,206,217,126,99,118,80,91,48,54,18,223
0,_Alameda,_06001244200,_244200,667,452,67,50,98,318,349,38,58,47,524,29,54,164,155,130,135,109,82,114,49,61,35,27,28,162
0,_Alameda,_06001244300,_244300,986,646,114,58,168,483,503,41,78,76,791,49,45,164,215,260,253,157,123,145,77,73,56,64,38,253
0,_Alameda,_06001244400,_244400,729,476,70,59,124,342,387,37,74,62,556,17,67,151,179,171,144,141,89,122,49,79,28,32,21,168
0,_Alameda,_06001244500,_244500,648,421,76,56,95,305,343,14,55,45,534,19,49,111,148,150,171,121,67,100,55,54,32,29,27,163
0,_Alameda,_06001244600,_244600,544,366,70,29,79,259,285,14,45,32,453,22,52,60,133,153,124,85,64,71,43,39,19,26,33,164
0,_Alameda,_06001244700,_244700,765,512,97,46,110,366,399,26,71,42,626,33,80,117,156,167,212,115,88,120,55,69,42,47,24,205
0,_Alameda,_06001244800,_244800,697,468,72,46,111,332,365,15,73,41,568,30,63,93,153,168,190,124,83,99,57,56,28,33,35,182
0,_Alameda,_06001244900,_244900,485,337,59,26,63,226,259,26,27,38,394,20,31,70,109,134,121,86,56,53,31,47,23,30,17,142
0,_Alameda,_06001245000,_245000,629,441,72,34,82,302,327,20,68,36,505,33,52,97,146,154,147,109,60,86,46,54,29,31,26,188
0,_Alameda,_06001245100,_245100,652,468,51,45,88,298,354,26,65,44,517,30,45,127,134,181,135,108,84,112,44,54,32,24,15,179
0,_Alameda,_06001245200,_245200,1115,708,175,73,159,544,571,35,119,77,884,54,87,177,218,258,321,150,136,156,96,95,57,56,43,326
0,_Alameda,_06001260100,_260100,987,571,76,160,180,471,516,128,52,108,699,87,279,205,152,129,135,408,143,125,51,67,19,32,13,129
0,_Alameda,_06001260300,_260300,281,190,15,24,52,141,140,23,13,40,205,12,42,73,60,53,41,73,45,46,16,31,5,14,6,45
0,_Alameda,_06001260400,_260400,554,339,42,58,115,267,287,43,42,80,389,37,74,130,108,122,83,127,76,92,41,52,19,30,19,98
0,_Alameda,_06001260610,_260610,582,364,46,51,121,281,301,31,19,139,393,22,84,106,110,96,164,156,67,86,40,75,22,29,21,86
0,_Alameda,_06001260800,_260800,600,381,53,74,92,281,319,50,47,93,410,51,82,112,135,117,103,148,90,94,46,62,17,35,13,95
0,_Alameda,_06001260900,_260900,718,518,47,51,102,329,389,43,48,89,538,61,49,139,157,181,131,140,76,109,51,73,21,32,29,187
0,_Alameda,_06001261000,_261000,754,539,49,62,104,363,391,38,56,74,586,51,60,157,166,163,157,128,85,117,61,84,20,36,29,194
0,_Alameda,_06001261300,_261300,718,487,35,82,114,329,389,48,59,88,523,40,95,129,160,157,137,195,100,109,64,62,23,27,15,123
0,_Alameda,_06001261400,_261400,552,382,27,50,93,248,304,54,31,75,392,29,68,130,125,109,91,135,83,78,35,52,10,25,23,111
0,_Alameda,_06001261600,_261600,686,468,42,69,107,317,369,39,52,65,530,42,74,151,156,143,120,127,99,115,53,65,36,34,21,136
0,_Alameda,_06001261700,_261700,576,419,34,43,80,264,312,38,42,67,429,38,62,88,130,145,113,120,59,81,50,43,31,30,15,147
0,_Alameda,_06001262000,_262000,756,575,14,39,128,342,414,28,87,62,579,41,66,136,166,188,159,134,81,104,54,85,35,33,26,204
0,_Alameda,_06001262100,_262100,655,488,44,45,78,318,337,19,69,62,505,53,59,92,131,166,154,113,70,94,49,39,30,30,31,199
0,_Alameda,_06001280100,_280100,1301,863,171,70,197,630,671,46,123,126,1006,114,100,176,337,335,239,226,174,202,108,119,61,65,39,307
0,_Alameda,_06001280500,_280500,1246,647,339,65,195,609,637,25,133,135,953,81,98,148,269,287,363,191,180,164,78,100,63,62,45,363
0,_Alameda,_06001280700,_280700,1359,770,263,87,239,684,675,24,127,158,1050,121,104,185,300,348,301,235,179,184,95,127,46,83,33,377
0,_Alameda,_06001281000,_281000,1174,606,314,66,188,557,617,13,121,173,867,86,92,129,262,287,318,213,155,152,95,95,42,56,40,326
