IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_CA_20120605_PRI_ALL_ALL_REG,USA_CA_20120605_PRI_ALL_ALL_VOTED,USA_CA_20120605_PRI_PRE_DEM_OBAMA,USA_CA_20120605_PRI_PRE_REP_KARGER,USA_CA_20120605_PRI_PRE_REP_GINGRICH,USA_CA_20120605_PRI_PRE_REP_ROMNEY,USA_CA_20120605_PRI_PRE_REP_ROEMERIII,USA_CA_20120605_PRI_PRE_REP_SANTORUM,USA_CA_20120605_PRI_PRE_REP_PAUL,USA_CA_20120605_PRI_PRE_OTH_ALL,USA_CA_20120605_PRI_USS_DEM_FERNALD,USA_CA_20120605_PRI_USS_DEM_FEINSTEIN,USA_CA_20120605_PRI_USS_DEM_LEVITT,USA_CA_20120605_PRI_USS_DEM_SHAH,USA_CA_20120605_PRI_USS_DEM_STEWART,USA_CA_20120605_PRI_USS_DEM_STRIMLING,USA_CA_20120605_PRI_USS_REP_LAUTEN,USA_CA_20120605_PRI_USS_REP_TAITZ,USA_CA_20120605_PRI_USS_REP_KRAMPE,USA_CA_20120605_PRI_USS_REP_WILLIAMS,USA_CA_20120605_PRI_USS_REP_BRAUN,USA_CA_20120605_PRI_USS_REP_KONOPIK,USA_CA_20120605_PRI_USS_REP_SHIFREN,USA_CA_20120605_PRI_USS_REP_CONLON,USA_CA_20120605_PRI_USS_REP_RAMIREZ,USA_CA_20120605_PRI_USS_REP_GLORIA,USA_CA_20120605_PRI_USS_REP_EMKEN,USA_CA_20120605_PRI_USS_REP_BORUFF,USA_CA_20120605_PRI_USS_REP_HUGHES,USA_CA_20120605_PRI_USS_REP_JACKSON,USA_CA_20120605_PRI_USS_OTH_ALL,USA_CA_20120605_PRI_PROP28_NO,USA_CA_20120605_PRI_PROP28_YES,USA_CA_20120605_PRI_PROP29_NO,USA_CA_20120605_PRI_PROP29_YES
0,_Alameda,_06001202710,_202710,650,132,99,0,1,3,0,0,1,8,1,101,2,0,0,3,0,0,0,0,0,0,2,1,0,0,2,0,1,0,10,37,80,20,101
0,_Alameda,_06001202900,_202900,621,231,190,1,2,4,1,0,1,4,6,186,3,0,0,3,1,3,0,0,1,0,0,1,0,0,0,0,3,0,9,67,147,39,181
0,_Alameda,_06001203100,_203100,692,344,270,0,0,7,0,1,5,8,6,289,0,1,0,1,1,0,0,0,0,0,3,2,2,0,4,0,4,2,12,107,207,56,272
0,_Alameda,_06001203200,_203200,556,262,197,0,1,36,1,0,2,1,1,208,0,0,1,0,0,1,0,1,1,0,2,4,2,0,9,0,2,2,7,67,165,45,203
0,_Alameda,_06001203300,_203300,611,262,224,0,0,7,1,1,3,3,1,229,3,0,1,1,1,3,0,1,0,0,0,2,1,0,0,0,0,0,9,68,176,36,216
0,_Alameda,_06001203400,_203400,652,297,241,0,0,11,0,0,4,5,3,246,2,0,0,3,0,4,0,0,0,0,4,1,0,0,1,0,4,3,16,72,200,47,235
0,_Alameda,_06001203500,_203500,1055,330,236,0,2,14,0,0,4,11,5,250,4,0,0,3,1,1,0,0,1,0,4,0,0,0,3,0,6,6,18,91,206,57,256
0,_Alameda,_06001203800,_203800,917,383,304,0,1,7,2,0,6,14,8,301,3,1,1,5,0,1,0,1,2,0,2,2,0,0,3,0,4,3,22,102,248,59,307
0,_Alameda,_06001204000,_204000,982,261,198,0,1,7,1,0,1,9,3,198,4,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,2,0,27,62,163,35,206
0,_Alameda,_06001204100,_204100,1205,347,270,0,0,3,0,0,5,13,5,266,2,0,2,3,0,0,0,1,0,0,1,2,0,1,2,0,0,3,30,103,214,64,272
0,_Alameda,_06001204210,_204210,1072,246,198,0,0,4,0,1,6,3,4,185,3,0,3,4,0,0,0,1,0,0,0,0,0,0,1,0,1,1,27,81,136,36,199
0,_Alameda,_06001204220,_204220,601,84,54,0,0,2,0,0,2,4,2,51,4,0,0,3,0,1,0,0,0,0,0,1,1,0,1,0,2,1,8,19,53,19,60
0,_Alameda,_06001204300,_204300,1043,312,229,0,0,5,0,1,6,12,4,227,6,0,1,6,1,0,0,0,1,1,0,1,0,0,2,0,2,1,26,76,197,31,259
0,_Alameda,_06001204310,_204310,776,279,213,0,0,1,0,1,0,15,8,207,3,0,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,1,28,71,179,40,221
0,_Alameda,_06001204510,_204510,587,133,96,0,0,5,1,1,1,7,6,94,4,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,13,46,78,25,101
0,_Alameda,_06001204600,_204600,591,110,66,0,0,2,0,0,10,6,0,64,2,0,1,4,0,0,0,0,0,0,0,0,0,0,3,1,2,0,23,26,76,19,87
0,_Alameda,_06001204800,_204800,488,67,51,0,0,1,0,0,1,2,1,41,4,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,1,0,8,21,37,16,46
0,_Alameda,_06001204900,_204900,619,58,42,0,0,2,0,0,1,3,2,40,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,16,33,11,42
0,_Alameda,_06001204910,_204910,743,36,25,0,0,0,0,0,3,1,1,21,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,7,26,5,28
0,_Alameda,_06001205000,_205000,618,316,256,0,0,9,0,1,3,3,3,269,0,0,1,5,0,3,0,0,0,0,0,2,0,0,4,0,0,1,9,92,187,42,260
0,_Alameda,_06001205100,_205100,707,369,288,0,0,10,0,1,5,1,5,306,6,1,0,0,0,0,1,0,0,0,2,1,0,0,3,0,7,4,8,111,233,72,286
0,_Alameda,_06001205200,_205200,802,384,295,0,0,11,1,2,5,5,1,314,4,0,1,2,0,3,1,2,2,0,4,3,0,0,3,0,1,2,16,110,243,50,320
0,_Alameda,_06001205500,_205500,756,367,305,1,0,9,1,0,3,8,4,307,1,0,1,3,0,5,0,0,0,0,0,2,2,0,3,0,1,3,15,92,249,54,306
0,_Alameda,_06001205600,_205600,1128,486,390,0,0,9,0,1,7,13,5,403,2,0,1,6,0,3,0,0,1,0,1,0,1,0,1,0,2,2,26,124,311,76,392
0,_Alameda,_06001205700,_205700,801,381,312,0,0,10,2,0,6,6,5,304,5,0,1,3,0,4,0,0,0,0,0,0,0,0,2,1,5,0,14,118,233,44,322
0,_Alameda,_06001205800,_205800,690,322,261,0,2,3,0,0,3,3,2,269,3,0,0,1,0,3,0,1,0,0,1,0,0,0,2,1,4,0,10,64,229,50,263
0,_Alameda,_06001205900,_205900,895,412,323,0,0,14,0,1,6,15,9,331,5,1,1,1,0,8,0,0,1,0,2,3,0,0,2,0,2,0,21,122,265,70,324
0,_Alameda,_06001206000,_206000,587,274,221,0,0,12,0,2,2,4,3,226,2,0,0,2,0,3,0,0,0,0,0,0,0,0,4,0,4,3,5,78,178,43,225
0,_Alameda,_06001206100,_206100,1056,494,407,0,0,10,0,0,9,2,4,405,3,1,2,8,0,8,0,1,2,0,0,1,1,0,6,0,2,2,17,136,317,70,403
0,_Alameda,_06001206200,_206200,627,271,210,1,0,6,1,1,4,3,4,218,1,0,1,7,0,0,0,0,0,0,2,1,3,0,3,0,1,1,17,68,173,39,222
0,_Alameda,_06001206400,_206400,1076,411,336,1,0,8,2,1,1,9,4,331,3,1,3,5,0,2,0,0,0,0,3,0,0,0,0,0,1,3,22,104,264,57,329
0,_Alameda,_06001206700,_206700,624,202,143,1,0,6,0,0,4,7,4,147,1,1,2,7,0,1,0,0,0,0,2,2,3,0,1,0,2,1,14,52,123,41,147
0,_Alameda,_06001206800,_206800,901,227,154,0,2,1,0,0,5,6,4,156,7,0,0,12,0,1,0,0,0,0,3,2,1,0,1,1,3,1,14,63,145,48,172
0,_Alameda,_06001207000,_207000,587,262,201,0,0,3,1,1,2,7,3,215,1,1,0,3,0,0,0,0,1,0,1,0,0,0,1,0,1,0,21,70,165,36,212
0,_Alameda,_06001207100,_207100,507,248,213,0,0,6,1,0,0,5,3,200,3,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,4,0,15,55,167,34,201
0,_Alameda,_06001207200,_207200,582,254,191,1,3,3,0,0,3,9,3,204,1,0,1,1,0,3,0,0,0,0,0,1,0,0,0,0,1,2,20,59,173,44,199
0,_Alameda,_06001207300,_207300,562,204,166,0,0,5,0,0,2,8,6,158,0,0,2,3,0,0,0,0,2,0,1,0,0,0,1,0,5,0,20,64,122,34,164
0,_Alameda,_06001207500,_207500,580,226,168,0,0,5,0,0,4,13,3,161,5,1,1,6,0,1,0,1,0,0,5,0,0,0,1,0,0,1,17,53,157,53,166
0,_Alameda,_06001207600,_207600,934,110,70,0,0,7,0,1,3,3,2,75,2,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,2,1,7,37,64,23,85
0,_Alameda,_06001207700,_207700,886,179,120,0,0,5,1,1,4,13,5,106,5,1,1,1,0,1,0,0,0,0,4,0,0,0,3,0,3,2,21,52,96,41,125
0,_Alameda,_06001208000,_208000,584,172,119,0,0,2,0,1,0,11,5,120,3,1,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,21,52,97,25,140
0,_Alameda,_06001208010,_208010,1075,385,288,0,0,11,2,1,5,17,7,282,3,1,1,5,0,1,1,0,1,1,5,1,0,0,3,0,2,5,40,92,256,72,289
0,_Alameda,_06001208100,_208100,569,200,162,0,1,5,0,0,3,6,1,147,3,0,1,3,0,1,0,0,0,0,2,1,0,0,0,0,3,0,26,48,145,45,150
0,_Alameda,_06001208110,_208110,598,228,177,0,0,6,0,1,3,8,2,176,5,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,23,65,139,49,165
0,_Alameda,_06001208200,_208200,602,210,150,0,1,4,1,0,2,9,1,149,3,0,2,0,0,1,0,1,1,0,1,0,0,0,2,0,3,1,27,54,134,38,164
0,_Alameda,_06001208210,_208210,721,210,167,0,0,2,0,0,2,6,0,162,6,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,23,71,129,45,166
0,_Alameda,_06001208300,_208300,866,251,199,0,0,3,0,1,2,14,2,186,2,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,4,1,24,65,162,51,191
0,_Alameda,_06001208310,_208310,661,156,114,0,0,3,0,0,2,11,4,108,1,0,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,18,56,84,47,100
0,_Alameda,_06001208400,_208400,812,243,197,0,1,1,1,0,4,11,6,176,2,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,3,0,27,57,157,46,176
0,_Alameda,_06001208500,_208500,501,192,147,0,0,2,0,0,4,7,2,143,5,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,24,38,135,29,156
0,_Alameda,_06001208510,_208510,1045,332,262,0,0,2,0,0,5,14,12,242,4,0,0,7,0,2,0,1,0,1,1,0,0,0,0,0,1,0,32,99,195,75,238
0,_Alameda,_06001208600,_208600,385,157,116,1,1,0,1,0,0,16,3,112,0,3,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,22,34,104,24,124
0,_Alameda,_06001208610,_208610,996,276,211,0,0,1,1,0,4,11,6,200,4,0,1,2,0,3,0,0,0,0,0,1,2,0,0,0,1,0,28,82,159,57,205
0,_Alameda,_06001208700,_208700,901,214,171,0,1,0,0,0,2,12,8,149,4,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,17,67,122,55,148
0,_Alameda,_06001208710,_208710,434,105,80,0,0,3,0,0,1,5,4,74,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,10,27,68,20,82
0,_Alameda,_06001208800,_208800,871,174,132,0,0,0,0,0,2,9,10,122,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,57,97,44,119
0,_Alameda,_06001208810,_208810,853,227,189,0,1,0,0,2,1,10,6,167,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,1,21,58,151,60,154
0,_Alameda,_06001208900,_208900,790,194,145,0,0,5,0,0,2,12,7,146,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,1,16,57,112,58,123
0,_Alameda,_06001208910,_208910,801,232,193,0,0,2,0,0,2,5,6,161,7,1,1,5,0,0,0,1,2,0,2,0,0,0,0,0,0,4,18,36,164,62,155
0,_Alameda,_06001209000,_209000,713,264,214,0,0,3,0,0,1,15,3,196,2,0,1,1,0,1,0,0,1,0,0,0,0,0,2,2,0,4,27,71,170,69,186
0,_Alameda,_06001209010,_209010,806,254,211,0,0,2,1,3,1,8,6,186,2,2,1,4,0,0,0,0,2,0,0,0,2,0,1,0,1,2,22,61,161,54,188
0,_Alameda,_06001209100,_209100,683,243,205,0,0,4,1,0,1,6,3,194,3,2,1,3,0,1,0,0,0,0,1,2,0,0,1,0,0,0,16,67,153,60,170
0,_Alameda,_06001209110,_209110,651,277,222,0,1,1,1,1,1,13,4,206,3,0,0,8,0,3,0,0,0,0,1,1,0,0,1,0,1,0,24,76,179,56,211
0,_Alameda,_06001209200,_209200,920,318,250,0,2,5,0,0,1,15,5,228,9,0,0,7,1,1,0,0,0,0,1,2,0,0,0,0,0,4,34,91,200,70,237
0,_Alameda,_06001209300,_209300,1108,326,235,0,0,2,0,0,5,26,9,224,8,2,1,2,1,1,1,1,0,0,1,0,1,0,0,1,2,2,32,84,211,65,242
0,_Alameda,_06001209310,_209310,1123,448,348,0,0,3,0,2,6,16,7,352,8,1,1,2,0,2,0,0,0,0,0,1,0,0,3,0,1,1,31,138,276,92,346
0,_Alameda,_06001209400,_209400,954,453,356,0,0,8,2,0,4,19,3,362,2,2,0,3,0,2,1,0,0,0,3,4,2,0,0,0,2,0,33,116,287,69,361
0,_Alameda,_06001209410,_209410,652,313,255,0,0,6,1,1,2,16,6,243,4,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,2,3,28,107,184,50,251
0,_Alameda,_06001209510,_209510,943,351,276,0,0,6,0,0,1,7,8,275,1,1,0,1,0,2,0,0,1,0,0,1,2,0,5,0,1,0,28,87,233,57,285
0,_Alameda,_06001209600,_209600,770,260,220,0,0,2,0,1,2,8,6,190,0,1,1,3,0,0,0,0,1,0,1,1,0,1,0,0,0,2,27,80,148,65,178
0,_Alameda,_06001209610,_209610,596,153,120,0,0,2,0,0,1,8,1,124,1,0,3,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,12,54,84,32,116
0,_Alameda,_06001209700,_209700,776,246,194,0,1,5,0,0,2,13,0,181,2,0,1,2,0,3,0,0,2,1,0,1,0,0,0,1,3,3,24,61,160,59,175
0,_Alameda,_06001209710,_209710,846,226,176,0,0,3,1,0,1,11,9,152,2,1,1,4,2,0,0,0,1,0,0,0,1,0,3,0,3,1,18,59,140,64,152
0,_Alameda,_06001209800,_209800,747,204,158,1,0,2,0,0,3,9,4,132,2,0,1,4,0,0,0,0,3,0,0,0,1,2,0,0,1,0,25,57,130,53,143
0,_Alameda,_06001209900,_209900,718,178,147,0,0,1,0,0,4,6,3,148,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,7,51,114,23,151
0,_Alameda,_06001213100,_213100,987,450,313,0,0,43,1,2,4,15,7,342,7,0,0,4,0,3,0,0,3,2,1,2,2,0,11,0,9,8,24,140,284,90,350
0,_Alameda,_06001213300,_213300,1203,539,348,0,3,90,1,2,4,5,6,394,1,1,0,4,0,9,1,4,2,1,7,9,1,0,14,0,21,8,15,163,343,126,395
0,_Alameda,_06001213400,_213400,629,276,178,0,0,39,0,0,7,4,4,198,2,1,0,0,0,0,0,3,0,0,3,4,2,0,3,1,8,6,10,88,176,69,199
0,_Alameda,_06001213500,_213500,1112,504,313,0,6,70,1,3,8,10,4,398,3,0,0,2,2,2,0,2,2,0,0,12,1,0,12,2,18,6,8,175,300,123,369
0,_Alameda,_06001213600,_213600,759,294,197,0,0,25,1,2,7,3,6,223,3,0,3,5,0,2,0,0,1,0,0,1,1,0,9,0,14,4,7,101,169,56,230
0,_Alameda,_06001213700,_213700,702,281,211,1,2,21,1,3,8,4,7,219,1,0,1,5,0,6,0,3,1,0,2,0,0,0,3,0,6,2,9,76,183,56,211
0,_Alameda,_06001213800,_213800,898,407,281,0,0,49,0,0,10,3,4,325,2,1,3,4,0,3,1,1,4,2,2,7,0,0,3,0,10,4,9,122,262,90,306
0,_Alameda,_06001213900,_213900,634,276,179,0,2,44,0,1,4,3,0,205,0,0,0,2,0,3,0,2,0,0,1,8,1,0,9,2,8,4,10,83,182,56,217
0,_Alameda,_06001214100,_214100,716,334,225,0,1,50,3,4,2,4,1,252,2,1,0,1,0,11,0,1,0,1,4,6,2,0,3,3,7,7,7,95,210,81,236
0,_Alameda,_06001214200,_214200,1061,492,321,0,0,74,2,4,6,10,6,380,1,1,3,2,0,3,0,1,1,0,1,11,0,0,12,0,15,7,11,168,285,116,360
0,_Alameda,_06001214300,_214300,599,277,180,0,2,31,2,1,11,1,0,204,1,2,1,0,0,4,0,0,0,0,5,3,0,1,14,2,7,8,6,99,158,57,212
0,_Alameda,_06001214400,_214400,664,302,213,0,1,30,0,0,8,5,2,231,3,0,0,2,0,6,0,1,2,1,0,3,4,1,8,1,5,3,8,78,209,73,224
0,_Alameda,_06001214500,_214500,589,300,220,0,0,15,0,2,5,2,6,245,3,0,1,2,1,1,1,0,1,0,2,1,0,0,4,0,3,3,9,82,192,51,236
0,_Alameda,_06001214600,_214600,939,416,319,0,1,17,0,2,9,7,6,339,3,0,1,2,1,0,0,3,0,0,2,3,1,0,6,0,8,2,12,160,223,78,326
0,_Alameda,_06001214800,_214800,985,377,289,0,1,9,2,0,10,10,6,299,1,0,1,5,0,3,0,4,0,0,1,0,1,1,2,0,1,4,20,96,239,58,301
0,_Alameda,_06001215100,_215100,1165,415,329,0,0,3,0,1,4,17,5,321,3,2,1,9,0,2,0,1,1,0,0,1,1,0,3,0,3,0,32,117,265,77,317
0,_Alameda,_06001215120,_215120,832,287,215,0,1,6,0,0,3,9,5,225,1,0,0,4,0,3,0,0,0,0,1,1,1,0,0,0,4,1,19,98,168,52,222
0,_Alameda,_06001215200,_215200,617,208,169,0,0,0,0,1,2,10,3,168,3,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,15,70,119,51,147
0,_Alameda,_06001215300,_215300,650,273,208,0,1,10,1,0,3,7,4,209,5,0,0,5,0,3,0,0,2,0,2,1,0,0,2,0,3,2,14,88,158,53,206
0,_Alameda,_06001215500,_215500,722,314,243,0,2,7,0,2,1,8,6,237,1,0,1,3,0,4,1,1,1,0,1,0,0,0,1,0,8,2,16,99,191,82,223
0,_Alameda,_06001215600,_215600,1035,329,243,0,4,11,1,0,4,14,8,239,2,0,0,5,0,2,0,0,1,0,1,3,0,0,3,1,6,6,23,91,215,86,230
0,_Alameda,_06001215610,_215610,625,172,134,0,0,2,0,0,1,5,5,115,3,0,1,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,18,53,111,37,131
0,_Alameda,_06001215700,_215700,787,222,164,1,2,6,0,0,0,8,7,156,3,0,1,8,0,2,0,0,0,0,4,1,0,0,2,0,1,2,19,66,142,70,144
0,_Alameda,_06001215800,_215800,744,159,116,0,1,3,0,0,4,4,3,114,3,0,1,4,0,1,0,1,0,0,2,1,0,0,3,0,0,0,18,49,96,38,114
0,_Alameda,_06001215900,_215900,464,112,78,0,0,7,0,0,1,6,1,79,1,0,0,1,0,0,0,1,2,0,0,0,0,0,4,0,1,2,11,29,70,32,70
0,_Alameda,_06001223000,_223000,601,220,155,0,3,10,0,0,3,5,4,161,4,2,2,5,0,2,0,0,0,0,1,0,0,0,1,1,6,0,13,62,139,41,163
0,_Alameda,_06001223010,_223010,842,302,221,0,2,10,0,0,2,9,5,221,0,1,2,3,0,6,0,0,0,0,4,1,0,0,0,1,7,3,24,91,184,68,218
0,_Alameda,_06001223200,_223200,478,212,165,0,0,13,0,0,3,3,2,164,3,1,0,0,0,2,0,2,3,0,0,1,0,0,4,2,1,1,10,50,143,55,150
0,_Alameda,_06001223300,_223300,781,310,225,2,1,11,0,1,2,11,6,237,2,1,1,3,0,2,0,1,0,0,1,1,0,1,2,1,3,2,33,87,197,63,236
0,_Alameda,_06001223400,_223400,596,274,212,2,0,16,1,1,0,1,5,217,0,0,1,0,1,1,0,0,1,0,2,2,0,0,2,0,3,2,9,55,202,63,200
0,_Alameda,_06001224000,_224000,883,388,305,0,0,19,0,0,3,6,5,321,1,0,1,2,0,6,1,0,2,0,0,6,2,0,3,1,2,1,11,107,250,77,299
0,_Alameda,_06001224200,_224200,1264,508,376,0,3,24,0,3,7,11,6,399,1,0,4,5,0,1,0,2,2,0,1,10,1,0,8,3,7,3,23,126,347,115,371
0,_Alameda,_06001224400,_224400,413,148,103,0,1,10,0,0,3,3,2,116,1,0,0,0,0,0,0,3,0,0,0,6,2,0,3,2,0,0,4,52,85,52,95
0,_Alameda,_06001224500,_224500,1120,434,321,0,4,17,0,1,10,14,5,329,7,1,2,8,1,1,1,2,0,0,0,5,0,0,4,2,0,0,28,103,301,101,318
0,_Alameda,_06001224600,_224600,844,385,286,1,3,20,3,0,4,17,3,315,4,0,1,6,1,0,0,0,0,0,0,9,0,0,3,1,1,2,20,96,260,73,300
0,_Alameda,_06001224700,_224700,917,322,257,0,0,11,0,0,4,6,4,254,1,0,0,6,0,1,0,1,1,0,0,4,2,0,4,0,4,0,13,90,213,72,243
0,_Alameda,_06001224800,_224800,440,196,144,0,1,6,0,1,4,4,0,168,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,0,1,1,10,52,136,46,145
0,_Alameda,_06001225000,_225000,504,177,136,0,0,5,1,1,2,10,4,132,5,0,1,0,0,3,1,1,0,0,0,1,0,0,0,0,1,2,14,41,125,39,135
