IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_CA_20040302_PRI_ALL_ALL_REG,USA_CA_20040302_PRI_ALL_ALL_VOTED,USA_CA_20040302_PRI_PRE_DEM_LAROUCHE,USA_CA_20040302_PRI_PRE_DEM_LIEBERMAN,USA_CA_20040302_PRI_PRE_DEM_CLARK,USA_CA_20040302_PRI_PRE_DEM_KERRY,USA_CA_20040302_PRI_PRE_DEM_KUCINICH,USA_CA_20040302_PRI_PRE_DEM_DEAN,USA_CA_20040302_PRI_PRE_DEM_BRAUN,USA_CA_20040302_PRI_PRE_DEM_EDWARDS,USA_CA_20040302_PRI_PRE_DEM_GEPHARDT,USA_CA_20040302_PRI_PRE_DEM_SHARPTON,USA_CA_20040302_PRI_PRE_REP_BUSH,USA_CA_20040302_PRI_PRE_OTH_ALL,USA_CA_20040302_PRI_USS_DEM_BOXER,USA_CA_20040302_PRI_USS_REP_CASEY,USA_CA_20040302_PRI_USS_REP_KALOOGIAN,USA_CA_20040302_PRI_USS_REP_BALL,USA_CA_20040302_PRI_USS_REP_HATCH,USA_CA_20040302_PRI_USS_REP_MARIN,USA_CA_20040302_PRI_USS_REP_JONES,USA_CA_20040302_PRI_USS_REP_QURAISHI,USA_CA_20040302_PRI_USS_REP_ZANDT,USA_CA_20040302_PRI_USS_REP_STEWART,USA_CA_20040302_PRI_USS_REP_STOEN,USA_CA_20040302_PRI_USS_OTH_ALL,USA_CA_20040302_PRI_PROP55_YES,USA_CA_20040302_PRI_PROP55_NO,USA_CA_20040302_PRI_PROP56_YES,USA_CA_20040302_PRI_PROP56_NO,USA_CA_20040302_PRI_PROP57_YES,USA_CA_20040302_PRI_PROP57_NO,USA_CA_20040302_PRI_PROP58_YES,USA_CA_20040302_PRI_PROP58_NO
0,_Alameda,_06001209010,_209010,739,360,3,5,4,173,62,16,1,25,1,15,9,15,289,1,1,0,0,2,7,0,0,1,0,1,268,73,221,116,120,209,138,189
0,_Alameda,_06001209110,_209110,1258,736,0,6,4,301,171,33,3,67,3,23,12,50,573,1,5,4,0,2,6,0,0,0,0,2,549,146,481,204,258,433,316,364
0,_Alameda,_06001209200,_209200,896,466,1,4,11,188,86,19,0,69,0,5,9,21,351,0,4,0,3,4,4,0,0,0,1,3,343,99,303,130,179,258,207,219
0,_Alameda,_06001209300,_209300,1113,567,0,5,8,185,122,25,0,78,1,15,15,39,392,2,2,0,1,2,7,1,0,0,1,4,435,108,367,172,230,316,268,270
0,_Alameda,_06001209310,_209310,1127,649,1,6,7,303,133,23,5,60,0,11,9,25,513,8,0,0,0,3,4,0,0,0,2,1,462,157,418,194,237,369,280,318
0,_Alameda,_06001209400,_209400,920,607,0,1,6,243,134,26,2,66,0,14,21,21,444,3,5,0,1,2,8,1,0,0,0,2,467,116,404,172,251,322,293,272
0,_Alameda,_06001209410,_209410,654,406,0,1,2,155,78,16,2,56,1,2,18,27,295,2,0,1,1,3,13,1,0,0,2,2,335,63,292,102,169,218,186,198
0,_Alameda,_06001209510,_209510,977,610,0,0,6,233,156,20,1,54,1,13,12,42,443,0,2,0,2,6,6,0,0,0,2,5,458,118,372,190,237,332,281,274
0,_Alameda,_06001209600,_209600,697,382,1,1,3,168,61,9,4,39,1,17,11,17,274,3,1,2,3,4,7,0,0,1,0,5,255,113,185,168,159,210,184,174
0,_Alameda,_06001209610,_209610,1292,629,2,4,2,264,97,32,5,71,1,12,14,36,444,2,0,1,0,3,7,0,1,2,1,5,468,134,374,228,272,335,306,299
0,_Alameda,_06001209710,_209710,1270,582,3,5,5,257,91,27,1,49,0,22,8,29,430,1,2,0,3,1,5,0,1,0,0,4,436,114,333,213,214,327,256,291
0,_Alameda,_06001209800,_209800,701,298,0,1,2,122,56,19,1,23,0,14,1,15,225,0,0,0,0,2,0,0,0,0,1,2,231,61,186,100,108,178,132,149
0,_Alameda,_06001213100,_213100,1317,850,0,4,6,387,65,44,0,98,0,6,86,16,561,4,21,1,1,13,63,1,1,0,2,7,565,252,471,335,463,356,512,294
0,_Alameda,_06001213300,_213300,1119,680,1,4,10,281,29,20,4,64,3,7,131,11,379,5,25,2,0,19,78,3,2,1,7,1,415,240,340,318,394,260,472,185
0,_Alameda,_06001213400,_213400,573,358,1,1,3,157,39,10,1,35,1,4,42,9,229,2,10,0,0,5,17,0,2,0,2,2,222,120,188,148,180,165,223,116
0,_Alameda,_06001213500,_213500,1070,653,0,2,4,241,40,14,1,79,1,13,120,11,360,10,24,2,4,10,60,1,2,2,12,1,384,248,301,321,389,247,431,198
0,_Alameda,_06001213600,_213600,708,422,3,0,5,170,49,18,0,52,0,3,38,13,281,6,8,0,3,5,15,2,1,1,2,1,262,136,223,171,192,207,231,167
0,_Alameda,_06001213700,_213700,686,455,0,2,1,206,32,15,2,72,1,2,41,12,314,6,2,0,0,6,23,1,1,0,2,0,305,129,238,186,246,190,280,152
0,_Alameda,_06001213800,_213800,822,522,0,0,3,227,28,16,5,69,0,3,66,3,325,3,9,1,1,9,47,1,0,1,3,1,330,174,268,236,292,225,326,183
0,_Alameda,_06001213900,_213900,624,413,1,0,3,172,32,18,0,58,0,1,66,3,262,4,10,0,2,5,35,0,3,1,2,2,263,133,197,195,214,183,251,151
0,_Alameda,_06001214100,_214100,723,459,0,1,6,195,26,7,1,63,3,3,69,7,275,6,12,2,1,8,39,1,2,1,7,1,283,163,233,203,239,199,283,155
0,_Alameda,_06001214300,_214300,553,364,1,2,5,165,21,7,0,44,0,0,46,4,225,4,12,0,0,9,23,1,2,1,1,1,210,138,178,167,196,158,231,117
0,_Alameda,_06001214400,_214400,1223,802,0,4,6,308,60,25,5,97,0,9,129,13,466,7,22,3,2,14,84,0,3,3,3,3,506,262,419,343,467,310,527,245
0,_Alameda,_06001214500,_214500,619,427,1,1,5,201,48,21,0,51,0,3,31,6,304,4,7,2,0,5,18,1,0,0,7,4,298,110,257,154,221,191,257,149
0,_Alameda,_06001214600,_214600,1071,627,1,3,5,286,66,19,1,82,0,12,28,18,432,1,6,2,0,2,19,1,0,1,2,5,439,144,389,191,278,307,342,237
0,_Alameda,_06001214700,_214700,508,328,1,3,2,124,51,10,0,49,1,3,16,15,225,1,3,0,0,2,11,1,2,2,1,4,253,66,206,100,138,171,157,147
0,_Alameda,_06001214800,_214800,1069,640,1,1,3,297,63,25,1,95,0,7,32,22,453,4,9,0,1,7,15,1,0,2,1,4,455,154,385,219,291,323,343,262
0,_Alameda,_06001215100,_215100,1279,718,0,1,9,273,152,41,2,97,0,8,9,39,541,2,0,0,1,3,6,1,0,1,1,5,578,116,501,173,285,389,331,336
0,_Alameda,_06001215120,_215120,924,533,1,3,3,218,89,34,2,63,1,9,6,24,405,2,0,0,0,2,3,0,0,0,0,1,427,90,373,136,198,313,251,261
0,_Alameda,_06001215200,_215200,664,332,0,0,3,147,63,13,2,39,1,14,4,16,271,0,1,0,1,1,3,1,0,0,1,4,250,71,221,98,144,173,172,141
0,_Alameda,_06001215300,_215300,709,440,0,2,1,194,68,26,5,51,0,2,17,6,323,6,1,0,0,2,10,0,0,1,1,0,311,104,274,143,173,236,201,203
0,_Alameda,_06001215500,_215500,735,474,0,1,1,161,83,23,2,59,0,11,17,28,318,0,5,2,0,4,7,1,0,0,0,3,325,122,285,157,192,257,242,208
0,_Alameda,_06001215600,_215600,987,482,1,3,5,211,60,25,4,53,0,8,22,24,344,2,4,1,1,3,10,0,0,1,5,4,356,99,300,142,196,261,243,205
0,_Alameda,_06001215610,_215610,613,267,1,1,5,106,49,7,3,21,0,16,7,15,186,1,3,0,0,0,3,1,0,0,0,5,210,48,163,87,95,160,125,126
0,_Alameda,_06001215700,_215700,878,437,0,1,4,134,113,15,3,44,1,15,10,30,295,2,3,0,0,2,3,1,0,1,3,6,342,82,279,134,152,257,184,223
0,_Alameda,_06001215800,_215800,776,301,1,0,5,99,73,14,5,30,0,9,7,15,210,1,1,0,0,1,4,0,0,1,0,4,247,43,205,81,102,182,121,160
0,_Alameda,_06001215900,_215900,454,160,0,0,1,60,36,0,1,8,0,10,8,10,108,0,0,1,0,1,3,0,0,0,0,0,127,27,100,54,64,87,87,63
0,_Alameda,_06001223000,_223000,625,367,0,2,2,164,75,18,2,34,0,2,24,8,280,3,3,1,0,3,9,2,2,1,1,0,274,83,241,97,155,194,192,153
0,_Alameda,_06001223010,_223010,871,480,0,4,6,164,108,21,2,61,1,4,17,27,341,1,6,0,0,3,4,0,0,0,3,5,356,100,307,143,185,272,238,215
0,_Alameda,_06001223200,_223200,536,307,0,0,5,121,46,14,1,27,0,6,16,15,204,1,3,0,1,4,5,1,2,0,1,3,211,82,195,99,116,178,142,149
0,_Alameda,_06001223300,_223300,1132,651,0,6,5,242,124,26,1,75,1,9,31,41,458,1,5,0,1,5,17,0,1,3,3,4,483,150,420,195,281,347,326,289
0,_Alameda,_06001223400,_223400,709,425,0,4,3,202,46,13,0,39,0,3,45,8,295,4,2,1,3,4,26,1,2,1,8,0,321,74,286,99,190,203,225,159
0,_Alameda,_06001224000,_224000,858,557,1,6,4,256,49,19,1,74,0,8,46,12,390,0,8,3,0,4,31,3,2,1,0,4,378,153,342,187,298,229,351,173
0,_Alameda,_06001224200,_224200,1272,820,1,3,12,375,106,17,3,113,0,5,54,25,592,2,6,2,2,9,28,1,2,2,3,3,560,219,471,302,356,429,445,330
0,_Alameda,_06001224300,_224300,568,321,0,0,2,138,35,9,2,46,0,8,17,10,225,5,3,2,2,4,10,0,0,0,1,0,225,89,189,116,151,156,173,130
0,_Alameda,_06001224500,_224500,999,536,1,2,6,219,72,18,4,73,0,12,26,24,385,1,4,0,1,4,17,0,1,0,0,8,362,143,306,200,232,279,267,240
0,_Alameda,_06001224600,_224600,1015,654,3,6,13,252,104,32,2,85,1,4,43,26,455,5,5,2,3,7,22,0,0,3,5,4,438,182,364,246,299,315,339,272
0,_Alameda,_06001224700,_224700,907,488,0,3,6,222,52,20,0,66,1,13,28,11,357,1,5,1,0,8,9,1,1,1,0,2,329,133,261,191,221,237,268,189
0,_Alameda,_06001224800,_224800,683,409,0,0,2,169,71,14,2,52,0,9,20,15,295,2,1,0,4,1,11,0,1,0,1,3,284,109,247,140,183,210,222,169
0,_Alameda,_06001225100,_225100,1290,667,0,4,5,241,135,29,1,78,2,20,10,47,482,2,4,0,0,1,2,0,0,1,2,4,525,113,458,170,228,401,283,338
0,_Alameda,_06001225200,_225200,562,226,0,0,3,72,36,6,2,31,0,11,4,18,146,0,0,0,0,0,3,1,0,0,1,4,169,47,144,67,85,127,99,114
0,_Alameda,_06001225300,_225300,711,404,0,1,5,157,70,26,1,40,0,15,19,21,286,4,4,1,1,1,8,0,0,2,1,8,315,79,252,129,165,218,206,180
0,_Alameda,_06001225400,_225400,1236,684,1,4,9,268,71,31,3,99,1,20,26,23,473,1,1,1,2,4,15,0,1,0,1,3,480,169,406,244,301,343,371,273
0,_Alameda,_06001225600,_225600,699,364,0,4,5,147,74,12,1,44,0,11,17,8,257,3,0,0,1,4,8,0,3,0,2,2,269,81,209,137,152,189,192,144
0,_Alameda,_06001225700,_225700,830,473,0,0,2,208,56,11,1,69,0,14,18,25,335,4,6,1,2,4,10,0,2,0,2,4,328,133,271,182,194,260,232,222
0,_Alameda,_06001225710,_225710,950,513,1,0,6,191,59,20,4,50,2,11,26,30,337,3,4,0,2,3,13,1,2,1,3,6,375,106,301,167,216,254,265,202
0,_Alameda,_06001225800,_225800,1264,775,2,3,7,325,105,39,3,94,0,16,44,32,543,4,8,1,3,6,23,4,1,1,2,6,533,207,456,287,367,371,445,287
0,_Alameda,_06001225810,_225810,591,291,0,1,1,110,48,14,3,28,0,12,12,16,202,0,2,1,1,1,5,1,0,1,0,3,218,68,182,98,114,168,142,138
0,_Alameda,_06001225910,_225910,626,370,0,1,1,130,58,20,0,35,2,6,15,17,238,0,1,0,3,2,7,0,0,0,2,2,263,93,242,114,137,212,161,192
0,_Alameda,_06001226100,_226100,696,469,0,3,3,228,23,11,1,60,0,9,60,7,317,8,6,1,0,7,36,1,3,0,0,2,296,160,236,213,253,202,298,154
0,_Alameda,_06001226200,_226200,962,591,0,1,6,301,58,24,4,79,0,24,28,14,454,3,0,0,3,9,14,0,0,0,1,3,425,136,341,216,250,310,313,237
0,_Alameda,_06001226300,_226300,709,441,0,3,4,229,22,13,2,56,0,9,48,4,309,3,9,1,0,1,26,1,2,0,3,2,289,133,249,174,233,192,277,145
0,_Alameda,_06001226400,_226400,658,425,0,1,3,191,32,11,1,49,2,8,46,10,270,2,16,0,1,4,14,0,2,3,3,2,272,136,224,182,247,167,270,137
0,_Alameda,_06001244000,_244000,743,529,0,2,4,228,25,10,1,61,2,8,81,8,304,4,17,2,4,12,47,0,2,3,3,2,311,201,249,254,303,212,333,181
0,_Alameda,_06001244100,_244100,946,601,1,4,2,255,43,11,0,75,0,6,65,17,352,7,14,2,5,12,44,1,1,3,1,5,348,230,296,273,296,280,345,226
0,_Alameda,_06001244200,_244200,710,464,0,2,8,187,48,17,0,63,1,4,49,11,303,2,13,0,0,8,26,0,3,0,3,2,294,157,241,192,248,192,281,154
0,_Alameda,_06001244300,_244300,1119,729,0,3,3,324,66,27,3,83,1,9,104,12,490,9,16,3,2,10,68,1,5,1,6,2,419,281,365,332,391,313,454,246
0,_Alameda,_06001244400,_244400,806,489,0,3,6,184,33,16,2,67,0,1,63,8,286,8,11,2,4,10,28,1,2,1,2,3,312,155,243,227,281,193,309,158
0,_Alameda,_06001244500,_244500,740,473,0,1,2,199,30,13,1,61,0,5,59,11,279,6,14,1,2,7,39,2,3,0,2,0,270,173,225,219,269,186,308,145
0,_Alameda,_06001244600,_244600,623,391,0,1,4,167,20,19,0,52,0,2,62,5,235,2,7,1,2,3,39,2,2,2,5,1,243,131,188,180,205,166,252,113
0,_Alameda,_06001244700,_244700,837,544,0,7,4,256,37,16,0,60,3,4,73,6,358,3,15,3,3,10,38,0,2,3,4,3,357,168,307,208,300,218,352,166
0,_Alameda,_06001244800,_244800,788,515,0,5,3,223,32,13,0,64,1,5,63,9,305,13,14,0,1,4,31,0,1,3,4,2,304,199,245,257,302,203,337,165
