IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_CA_20201103_GEN_ALL_ALL_REG,USA_CA_20201103_GEN_ALL_ALL_VOTED,USA_CA_20201103_GEN_PRE_DEM_BIDEN,USA_CA_20201103_GEN_PRE_REP_TRUMP,USA_CA_20201103_GEN_PRE_OTH_ALL,USA_CA_20201103_GEN_PROP14_NO,USA_CA_20201103_GEN_PROP14_YES,USA_CA_20201103_GEN_PROP15_NO,USA_CA_20201103_GEN_PROP15_YES,USA_CA_20201103_GEN_PROP16_NO,USA_CA_20201103_GEN_PROP16_YES,USA_CA_20201103_GEN_PROP17_NO,USA_CA_20201103_GEN_PROP17_YES,USA_CA_20201103_GEN_PROP18_NO,USA_CA_20201103_GEN_PROP18_YES,USA_CA_20201103_GEN_PROP19_NO,USA_CA_20201103_GEN_PROP19_YES,USA_CA_20201103_GEN_PROP20_NO,USA_CA_20201103_GEN_PROP20_YES,USA_CA_20201103_GEN_PROP21_NO,USA_CA_20201103_GEN_PROP21_YES,USA_CA_20201103_GEN_PROP22_NO,USA_CA_20201103_GEN_PROP22_YES,USA_CA_20201103_GEN_PROP23_NO,USA_CA_20201103_GEN_PROP23_YES,USA_CA_20201103_GEN_PROP24_NO,USA_CA_20201103_GEN_PROP24_YES,USA_CA_20201103_GEN_PROP25_NO,USA_CA_20201103_GEN_PROP25_YES
0,_Alameda,_06001224300,_224300,205,176,156,15,3,62,107,27,147,28,142,10,164,24,150,65,100,145,25,35,137,129,44,60,106,75,97,39,123
0,_Alameda,_06001224420,_224420,70,56,47,7,2,15,38,16,38,20,33,10,44,22,31,18,34,36,15,20,31,26,27,26,25,16,35,24,27
0,_Alameda,_06001224500,_224500,3231,2863,2620,176,37,1038,1677,518,2280,575,2183,287,2494,636,2143,1228,1468,2299,398,1066,1682,2038,717,1382,1311,1461,1227,720,1949
0,_Alameda,_06001224700,_224700,1681,1462,1340,74,19,589,813,263,1165,296,1115,144,1285,320,1108,553,838,1160,241,536,871,986,432,694,692,713,675,457,914
0,_Alameda,_06001225300,_225300,3714,3283,3060,123,57,1042,2068,437,2755,618,2521,296,2900,676,2496,1215,1833,2626,458,929,2197,2338,816,1460,1631,1613,1469,879,2146
0,_Alameda,_06001225710,_225710,3029,2635,2443,106,64,872,1622,416,2147,513,2031,226,2350,514,2051,1062,1384,2115,360,799,1719,1829,702,1164,1308,1271,1210,713,1718
0,_Alameda,_06001225900,_225900,3003,2640,2464,112,44,980,1536,419,2149,524,2024,210,2379,522,2047,1053,1409,2147,346,941,1605,1843,711,1217,1255,1432,1080,739,1700
0,_Alameda,_06001244300,_244300,3844,3458,3125,242,50,1306,1989,882,2489,1061,2262,507,2864,1033,2328,1403,1877,2527,714,1885,1388,2010,1303,2009,1265,1799,1493,1015,2200
0,_Alameda,_06001244400,_244400,4953,4471,4062,310,64,1676,2575,1146,3181,1331,2931,614,3739,1278,3061,1738,2481,3319,852,2308,1942,2685,1603,2463,1756,2188,2059,1257,2899
0,_Alameda,_06001244900,_244900,619,562,504,44,7,193,351,173,380,167,379,77,479,187,367,227,306,427,97,303,239,330,213,327,209,273,264,157,367
0,_Alameda,_06001245100,_245100,2010,1799,1659,96,25,663,1077,407,1351,438,1307,216,1553,488,1274,724,975,1406,306,891,838,1203,543,991,722,940,783,469,1224
0,_Alameda,_06001245300,_245300,1423,1281,1121,116,16,523,700,393,852,402,826,206,1036,432,809,573,641,959,243,730,490,722,507,787,422,689,529,396,807
0,_Alameda,_06001260100,_260100,4099,3494,3057,284,95,1100,2188,735,2638,997,2324,534,2834,933,2410,1359,1845,2592,613,1286,2008,2310,1006,1558,1697,1499,1759,1046,2103
0,_Alameda,_06001261300,_261300,3858,3428,3055,285,41,1226,1984,655,2659,892,2352,495,2808,938,2353,1373,1771,2603,563,1454,1761,2392,856,1730,1436,1656,1509,933,2179
0,_Alameda,_06001262000,_262000,4327,3872,3527,239,63,1396,2274,654,3121,970,2758,462,3312,972,2782,1606,2013,3070,573,1586,2098,2759,943,2009,1583,1936,1699,1021,2560
0,_Alameda,_06001280700,_280700,4413,3993,3311,526,79,1731,2093,1573,2309,1688,2146,1025,2877,1610,2283,1941,1839,2723,996,2799,1008,1827,2023,2691,1090,1978,1832,1483,2208
0,_Alameda,_06001281600,_281600,4618,4164,3724,325,57,1609,2342,1119,2916,1477,2481,752,3274,1370,2651,1844,2059,3022,843,2530,1380,2375,1617,2591,1289,1984,1951,1231,2589
0,_Alameda,_06001300110,_300110,2411,2125,1661,371,53,876,1129,868,1195,1012,1011,695,1345,977,1067,922,1065,1221,727,1326,697,973,1071,1255,751,870,1129,933,1001
0,_Alameda,_06001300130,_300130,3191,2746,2097,546,49,1122,1451,1095,1538,1252,1317,875,1737,1259,1355,1167,1350,1567,901,1547,1014,1324,1253,1589,968,1048,1491,1178,1281
0,_Alameda,_06001300150,_300150,4761,4225,3371,697,76,1646,2350,1697,2387,1980,2027,1352,2727,1930,2146,1813,2130,2560,1319,2741,1258,2034,2006,2668,1302,1782,2169,1780,2055
0,_Alameda,_06001301200,_301200,4906,4421,3651,629,84,1758,2446,1420,2852,1752,2442,1066,3209,1664,2619,1848,2257,2965,1134,2353,1837,2506,1714,2557,1582,1912,2243,1607,2483
0,_Alameda,_06001301900,_301900,4753,4079,3376,571,73,1461,2389,1122,2824,1428,2449,838,3105,1377,2566,1502,2270,2768,1024,1737,2142,2440,1448,2067,1798,1614,2223,1347,2369
0,_Alameda,_06001302000,_302000,5244,4568,3750,652,108,1754,2543,1437,2962,1682,2651,1025,3388,1647,2759,1856,2386,3109,1121,2310,1995,2676,1694,2574,1701,2046,2229,1512,2660
0,_Alameda,_06001302700,_302700,4549,3932,3209,566,96,1412,2302,1123,2662,1408,2315,789,3004,1386,2404,1488,2150,2658,946,1733,1984,2282,1458,2103,1578,1647,2028,1312,2304
0,_Alameda,_06001303800,_303800,4439,3769,3133,497,84,1314,2223,1073,2548,1301,2246,770,2849,1262,2360,1471,1986,2487,975,1506,2043,2265,1329,1856,1672,1519,1989,1286,2148
0,_Alameda,_06001304600,_304600,4623,3901,3276,500,71,1371,2295,1086,2673,1339,2375,749,3016,1310,2443,1483,2119,2659,934,1709,1996,2345,1390,2030,1637,1618,2033,1249,2302
0,_Alameda,_06001305010,_305010,4891,3985,3324,545,75,1289,2461,1080,2721,1365,2363,825,2992,1401,2414,1369,2284,2501,1141,1642,2132,2098,1691,1985,1764,1348,2352,1326,2268
0,_Alameda,_06001305100,_305100,4669,3804,3124,570,70,1320,2294,1154,2521,1428,2195,868,2812,1350,2333,1441,2090,2442,1088,1750,1884,2124,1515,1904,1670,1481,2117,1352,2147
0,_Alameda,_06001305700,_305700,3920,3318,2714,490,72,1150,1971,1054,2149,1269,1886,790,2409,1243,1955,1323,1784,2097,963,1529,1618,1805,1361,1786,1344,1298,1812,1189,1860
0,_Alameda,_06001310000,_310000,3988,3205,2952,128,74,1102,1944,545,2583,609,2507,196,2948,558,2563,1230,1767,2596,449,937,2172,2255,868,1257,1795,1519,1522,993,1985
0,_Alameda,_06001310400,_310400,4999,4159,3905,89,98,1447,2457,660,3401,620,3390,165,3913,588,3472,1754,2145,3471,486,1163,2848,3042,998,1616,2320,2118,1815,1279,2573
0,_Alameda,_06001311200,_311200,3882,3188,2960,91,90,1054,1959,435,2667,462,2612,144,2973,445,2649,1287,1674,2681,356,839,2207,2387,691,1234,1760,1721,1297,992,1992
0,_Alameda,_06001311400,_311400,4659,3629,3363,108,108,1200,2267,573,2965,563,2935,211,3334,577,2963,1454,1958,3025,434,1011,2494,2558,951,1343,2096,1786,1655,1216,2149
0,_Alameda,_06001323200,_323200,3307,2851,2607,140,64,946,1744,454,2331,545,2208,307,2487,576,2209,1229,1445,2259,442,793,1938,2060,694,1136,1536,1441,1259,882,1741
0,_Alameda,_06001323400,_323400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Alameda,_06001325300,_325300,4487,3753,3407,201,93,1138,2395,521,3111,733,2864,343,3293,728,2907,1483,2000,2945,595,975,2607,2536,1061,1495,2019,1803,1727,1080,2375
0,_Alameda,_06001325400,_325400,3290,2800,2580,111,72,797,1837,430,2289,506,2184,211,2513,538,2181,1116,1497,2231,412,677,1999,1970,741,1145,1501,1293,1340,896,1698
0,_Alameda,_06001325500,_325500,3152,2752,2576,91,61,833,1765,391,2280,464,2187,182,2500,489,2181,1169,1399,2201,382,727,1908,1962,693,1160,1431,1433,1148,766,1762
0,_Alameda,_06001333200,_333200,4451,3704,3351,190,91,1147,2343,506,3062,713,2827,308,3275,706,2864,1398,2045,2899,570,1012,2531,2493,1063,1524,1957,1797,1689,1034,2352
0,_Alameda,_06001333210,_333210,650,496,419,56,13,190,263,124,343,161,309,99,369,145,318,196,241,331,118,188,277,274,193,224,225,221,228,175,259
0,_Alameda,_06001333300,_333300,89,73,62,6,4,22,44,15,55,16,53,6,63,16,54,20,45,48,18,11,58,47,23,26,43,27,39,22,43
0,_Alameda,_06001333410,_333410,1862,1598,1462,97,30,481,1048,301,1258,407,1142,165,1397,392,1166,589,918,1229,287,553,978,930,620,689,823,674,854,458,1037
0,_Alameda,_06001333420,_333420,4,9,9,0,0,4,5,3,5,2,6,1,8,2,7,5,3,6,2,2,7,3,6,1,8,1,8,1,7
0,_Alameda,_06001333800,_333800,3213,2597,2298,197,69,809,1609,447,2055,548,1926,291,2222,566,1939,1023,1357,1930,485,650,1825,1711,801,1060,1368,1179,1271,861,1502
0,_Alameda,_06001333900,_333900,3994,2833,2239,477,57,973,1639,810,1841,982,1663,683,1977,947,1719,1150,1382,1723,822,1044,1605,1541,1102,1134,1478,1071,1534,1076,1406
0,_Alameda,_06001334000,_334000,4987,3462,2837,484,83,1099,2136,769,2570,934,2367,592,2736,941,2375,1347,1816,2364,826,1022,2279,2069,1232,1276,1971,1354,1890,1316,1794
0,_Alameda,_06001334510,_334510,4,5,4,0,1,2,3,1,4,2,3,0,5,1,4,3,2,4,1,1,4,5,0,2,3,2,3,1,4
0,_Alameda,_06001334800,_334800,3476,2548,2177,266,68,775,1636,564,1904,664,1762,371,2094,643,1811,940,1434,1751,633,782,1650,1519,948,1043,1391,989,1416,858,1482
0,_Alameda,_06001335200,_335200,1038,714,636,42,25,181,502,130,569,135,561,43,658,120,581,279,405,548,137,193,503,465,236,251,435,279,397,246,417
0,_Alameda,_06001335300,_335300,4782,3797,3441,214,86,1140,2427,511,3174,752,2890,309,3387,675,2993,1394,2107,2876,658,903,2735,2500,1153,1344,2233,1700,1883,1105,2376
0,_Alameda,_06001335400,_335400,4631,3177,2853,154,105,966,2027,503,2570,568,2461,183,2900,498,2570,1200,1765,2541,460,786,2258,2252,814,1018,1965,1412,1587,1094,1836
0,_Alameda,_06001336100,_336100,4784,3136,2796,181,97,1012,1956,679,2353,622,2366,296,2749,600,2420,1125,1789,2253,667,974,2051,1892,1141,1253,1755,1255,1707,1113,1746
0,_Alameda,_06001336200,_336200,4335,3324,3044,148,83,998,2147,535,2697,718,2484,229,3009,578,2647,1211,1904,2617,511,981,2217,2172,1047,1166,1987,1415,1726,1043,2022
0,_Alameda,_06001336710,_336710,3734,2646,2388,118,78,766,1755,446,2136,446,2096,171,2410,430,2139,971,1518,2085,418,754,1811,1761,807,962,1561,1158,1352,917,1530
0,_Alameda,_06001336810,_336810,57,48,46,1,1,12,35,13,34,11,35,6,41,10,37,19,28,39,7,10,37,30,17,20,26,27,19,12,31
0,_Alameda,_06001336900,_336900,966,775,684,68,14,225,500,159,587,207,529,96,646,191,549,328,386,574,141,254,475,469,269,320,400,350,373,205,502
0,_Alameda,_06001336910,_336910,702,607,561,19,15,190,383,111,479,143,439,51,539,105,481,249,317,467,101,254,331,360,228,280,287,290,290,142,420
0,_Alameda,_06001337100,_337100,1588,1106,958,93,32,331,689,200,840,272,771,145,903,248,794,413,581,778,231,318,718,653,382,453,564,468,549,345,634
0,_Alameda,_06001344000,_344000,2529,1958,1705,207,32,684,1185,521,1385,508,1375,296,1599,566,1329,782,1034,1398,445,689,1200,1185,719,849,1038,782,1070,717,1086
0,_Alameda,_06001344020,_344020,142,114,99,9,3,39,67,23,87,30,81,13,97,29,77,45,62,77,33,36,72,70,39,45,62,44,63,38,69
0,_Alameda,_06001344100,_344100,751,554,448,76,16,176,351,134,407,136,401,90,447,142,392,224,295,401,120,178,354,342,196,261,271,273,256,208,303
0,_Alameda,_06001344500,_344500,2421,2079,1861,147,48,737,1250,394,1653,457,1557,272,1773,510,1526,870,1071,1638,344,748,1250,1401,606,950,1014,1041,948,627,1306
0,_Alameda,_06001344700,_344700,1633,1460,1333,79,33,537,867,337,1095,363,1055,157,1277,405,1023,630,770,1156,239,690,720,986,429,740,651,773,629,430,954
0,_Alameda,_06001344900,_344900,3582,3050,2722,246,53,1183,1727,750,2237,762,2178,448,2536,791,2186,1261,1614,2375,519,1228,1680,1989,959,1464,1421,1469,1434,903,1923
0,_Alameda,_06001345100,_345100,3960,3301,2962,242,61,1132,2037,705,2524,720,2485,365,2874,775,2455,1210,1918,2527,604,1200,1982,2148,1062,1481,1680,1490,1674,1056,2024
0,_Alameda,_06001345310,_345310,3356,2748,2509,162,39,910,1714,717,1966,574,2088,247,2448,624,2049,1063,1508,2123,465,1031,1617,1722,935,1256,1351,1079,1524,898,1661
0,_Alameda,_06001345900,_345900,1395,1196,1064,107,14,435,714,381,786,344,813,221,940,394,769,480,633,873,242,630,521,647,495,649,489,562,568,401,699
0,_Alameda,_06001347110,_347110,593,399,350,38,5,126,249,76,307,92,288,49,336,109,278,149,227,276,99,142,239,243,141,153,227,124,251,128,237
0,_Alameda,_06001347210,_347210,352,230,186,38,3,82,136,67,157,65,152,32,195,70,154,68,144,152,68,80,142,105,120,100,122,64,155,94,119
0,_Alameda,_06001347300,_347300,2679,1972,1778,129,34,610,1261,506,1412,402,1495,211,1701,442,1470,661,1183,1430,415,719,1173,1125,784,873,1019,684,1191,684,1125
0,_Alameda,_06001353310,_353310,5152,4131,3681,307,80,1395,2512,762,3257,852,3123,431,3595,860,3139,1670,2162,3192,682,1216,2753,2798,1189,1633,2285,1916,1995,1379,2415
0,_Alameda,_06001353800,_353800,700,534,475,35,14,181,331,115,406,137,380,75,446,143,377,224,275,393,111,151,366,360,164,219,295,235,278,191,296
0,_Alameda,_06001354100,_354100,3546,2682,2353,229,60,843,1670,607,1985,605,1957,340,2248,644,1931,998,1500,1928,593,853,1696,1642,933,1132,1395,1091,1429,908,1551
0,_Alameda,_06001354300,_354300,4571,3057,2480,484,61,1019,1894,893,2088,901,2038,624,2337,909,2039,1195,1645,1985,866,1171,1757,1671,1285,1299,1622,1085,1805,1291,1515
0,_Alameda,_06001354700,_354700,4910,3394,2816,422,85,1047,2148,792,2464,947,2261,568,2664,903,2330,1288,1847,2303,845,1132,2097,1899,1321,1314,1921,1269,1898,1320,1786
0,_Alameda,_06001354910,_354910,4179,2916,2474,328,72,878,1883,710,2124,722,2079,424,2395,734,2067,1083,1641,2079,660,908,1896,1762,1056,1145,1659,1125,1632,1093,1593
0,_Alameda,_06001355210,_355210,434,301,264,29,5,94,189,77,218,86,207,53,241,80,214,103,172,212,67,108,184,167,125,146,139,105,179,122,155
0,_Alameda,_06001356000,_356000,4374,3280,2808,360,64,1112,1998,835,2360,871,2281,535,2647,906,2265,1265,1780,2249,812,1182,1975,1928,1243,1442,1691,1293,1811,1194,1807
0,_Alameda,_06001356210,_356210,2637,1867,1591,203,36,575,1198,441,1368,467,1305,308,1493,495,1307,729,1022,1321,442,623,1165,1151,653,755,1043,749,1015,654,1084
0,_Alameda,_06001361000,_361000,1701,1147,1011,90,27,334,760,238,882,310,793,154,965,293,818,419,662,794,292,349,764,693,426,426,688,427,671,469,607
0,_Alameda,_06001361200,_361200,2253,1400,1226,133,29,319,990,338,1013,363,972,168,1176,381,954,395,895,851,434,460,876,631,717,594,753,356,961,491,773
0,_Alameda,_06001361300,_361300,796,499,451,33,7,124,353,131,353,143,338,64,421,132,353,165,310,310,159,164,320,243,238,186,294,161,309,201,261
0,_Alameda,_06001361500,_361500,4628,2875,2490,282,54,764,1983,791,1985,778,1976,396,2382,747,2019,910,1787,1953,757,1039,1720,1442,1336,1284,1480,849,1869,1185,1494
0,_Alameda,_06001362200,_362200,2433,1575,1402,120,31,456,1049,420,1115,361,1168,161,1376,393,1135,546,931,1097,398,536,984,863,673,660,865,459,1052,624,841
0,_Alameda,_06001362510,_362510,4351,2861,2593,177,59,765,1937,892,1886,643,2084,276,2490,689,2081,937,1717,1987,687,1044,1704,1441,1332,1393,1360,853,1848,1148,1481
0,_Alameda,_06001362600,_362600,4462,3658,3397,162,63,1163,2358,861,2726,634,2928,260,3342,802,2794,1331,2125,2886,606,1395,2153,2270,1304,1724,1826,1492,2017,1250,2193
0,_Alameda,_06001363000,_363000,4160,2715,2473,153,60,713,1869,796,1859,631,1981,269,2378,642,1997,868,1685,1897,674,1026,1599,1376,1262,1315,1335,816,1753,1051,1490
0,_Alameda,_06001364020,_364020,12,10,10,0,0,4,6,9,1,3,5,0,10,1,9,4,6,9,1,9,1,3,7,5,5,3,7,0,10
0,_Alameda,_06001364200,_364200,1341,1180,994,158,17,500,627,437,717,429,707,247,906,452,700,495,633,818,281,728,395,600,534,718,417,551,569,423,682
0,_Alameda,_06001364400,_364400,3203,2739,2409,249,41,919,1687,877,1789,761,1878,467,2211,855,1822,997,1593,1899,663,1365,1261,1486,1176,1456,1163,1032,1603,1010,1535
0,_Alameda,_06001364510,_364510,939,837,733,82,12,279,523,297,510,235,565,132,685,280,532,293,502,604,181,482,318,437,372,438,360,260,533,288,494
0,_Alameda,_06001364800,_364800,4539,3441,3142,183,70,1027,2277,964,2412,698,2637,292,3084,822,2535,1152,2118,2566,696,1295,2032,1941,1416,1622,1699,1160,2128,1162,2087
0,_Alameda,_06001373000,_373000,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1
0,_Alameda,_06001373010,_373010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Alameda,_06001373030,_373030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
