IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_CA_20140603_PRI_ALL_ALL_REG,USA_CA_20140603_PRI_ALL_ALL_VOTED,USA_CA_20140603_PRI_ATG_DEM_HARRIS,USA_CA_20140603_PRI_ATG_REP_HAGGERLY,USA_CA_20140603_PRI_ATG_REP_WYMAN,USA_CA_20140603_PRI_ATG_REP_KING,USA_CA_20140603_PRI_ATG_REP_GOLD,USA_CA_20140603_PRI_ATG_OTH_OTHER,USA_CA_20140603_PRI_CON_DEM_YEE,USA_CA_20140603_PRI_CON_DEM_PEREZ,USA_CA_20140603_PRI_CON_DEM_BLAIR,USA_CA_20140603_PRI_CON_REP_EVANS,USA_CA_20140603_PRI_CON_REP_SWEARENGEN,USA_CA_20140603_PRI_CON_OTH_OTHER,USA_CA_20140603_PRI_CON_DEM_AGBEDE,USA_CA_20140603_PRI_CON_DEM_BROWN,USA_CA_20140603_PRI_CON_REP_CHAMP,USA_CA_20140603_PRI_CON_REP_DONNELLY,USA_CA_20140603_PRI_CON_REP_AGUIRRE,USA_CA_20140603_PRI_CON_REP_BLOUNT,USA_CA_20140603_PRI_CON_REP_KASHKARI,USA_CA_20140603_PRI_CON_REP_WINSTON,USA_CA_20140603_PRI_GOV_OTH_OTHER,USA_CA_20140603_PRI_INS_DEM_JONES,USA_CA_20140603_PRI_INS_REP_GAINES,USA_CA_20140603_PRI_INS_OTH_OTHER,USA_CA_20140603_PRI_LTG_DEM_KOREVAAR,USA_CA_20140603_PRI_LTG_DEM_NEWSOM,USA_CA_20140603_PRI_LTG_REP_YANG,USA_CA_20140603_PRI_LTG_REP_FENNELL,USA_CA_20140603_PRI_LTG_REP_NEHRING,USA_CA_20140603_PRI_LTG_OTH_OTHER,USA_CA_20140603_PRI_PROP41_NO,USA_CA_20140603_PRI_PROP41_YES,USA_CA_20140603_PRI_PROP42_NO,USA_CA_20140603_PRI_PROP42_YES,USA_CA_20140603_PRI_SOS_DEM_DROBMAN,USA_CA_20140603_PRI_SOS_DEM_YEE,USA_CA_20140603_PRI_SOS_DEM_CRESSMAN,USA_CA_20140603_PRI_SOS_DEM_PADILLA,USA_CA_20140603_PRI_SOS_REP_ALLMOND,USA_CA_20140603_PRI_SOS_REP_PETERSON,USA_CA_20140603_PRI_SOS_OTH_OTHER,USA_CA_20140603_PRI_SPI_NOP_GUTIERREZ,USA_CA_20140603_PRI_SPI_NOP_TUCK,USA_CA_20140603_PRI_SPI_NOP_TORLAKSON,USA_CA_20140603_PRI_TRS_DEM_CHIANG,USA_CA_20140603_PRI_TRS_REP_CONLON,USA_CA_20140603_PRI_TRS_OTH_OTHER
0,_Alameda,_06001205900,_205900,709,282,247,3,1,2,0,9,128,73,11,5,3,27,0,251,0,1,0,0,4,0,24,227,9,16,17,238,3,0,5,14,34,238,49,207,5,27,41,124,1,8,46,17,19,214,215,9,33
0,_Alameda,_06001206000,_206000,588,227,185,7,2,1,5,4,89,56,7,9,8,14,1,200,0,5,0,0,8,0,11,166,15,8,10,179,1,3,12,11,35,181,58,151,5,15,48,78,2,7,36,18,33,137,168,12,16
0,_Alameda,_06001206100,_206100,1085,393,334,2,6,3,5,13,174,111,11,12,6,31,2,338,0,5,1,1,8,0,28,306,14,29,16,320,5,1,10,28,71,308,84,274,12,29,101,133,3,10,61,44,35,255,298,14,40
0,_Alameda,_06001206200,_206200,634,210,179,3,2,2,5,3,88,58,5,3,4,19,0,182,0,0,0,0,5,0,21,154,9,16,14,159,2,0,7,16,33,169,47,145,6,18,52,77,2,5,20,18,11,141,155,3,23
0,_Alameda,_06001206400,_206400,1102,375,308,2,3,3,2,9,143,94,7,4,4,44,4,312,1,6,1,0,8,0,34,282,13,24,12,311,4,4,3,27,49,313,78,265,8,34,75,136,2,3,55,41,30,250,273,9,40
0,_Alameda,_06001206500,_206500,795,190,160,3,2,1,3,5,78,44,5,3,5,25,0,162,0,3,1,1,2,1,14,139,8,17,8,151,6,1,2,17,33,152,44,134,3,13,42,65,0,5,36,27,10,115,133,7,29
0,_Alameda,_06001206600,_206600,687,117,94,1,0,1,1,11,57,23,3,4,2,18,0,84,1,3,0,2,1,0,21,82,5,15,9,79,2,0,2,18,17,95,34,70,2,11,23,45,0,3,27,16,12,69,86,5,16
0,_Alameda,_06001206700,_206700,651,172,138,1,2,1,4,8,64,44,8,5,8,23,0,142,0,5,0,0,4,0,15,134,8,10,6,137,6,0,3,12,29,136,44,112,5,22,27,59,2,5,29,13,13,112,127,10,23
0,_Alameda,_06001207000,_207000,572,225,176,4,4,1,5,5,84,53,8,9,3,30,0,187,0,4,0,0,1,0,28,170,10,16,9,165,1,3,5,31,43,174,58,144,3,20,43,69,3,6,42,22,19,151,153,8,42
0,_Alameda,_06001207100,_207100,510,211,181,2,2,1,3,5,90,61,5,5,4,14,0,192,0,2,0,0,3,0,10,167,9,11,7,176,2,0,6,6,37,164,54,147,2,15,47,83,2,3,25,15,16,154,167,6,18
0,_Alameda,_06001207200,_207200,592,223,189,2,0,1,3,7,83,62,4,4,2,34,1,185,1,3,0,0,1,0,30,169,7,23,5,183,3,1,0,25,25,188,51,156,3,14,50,82,2,3,39,28,10,149,162,6,30
0,_Alameda,_06001207300,_207300,574,187,154,2,3,0,0,2,72,48,4,3,2,34,0,138,0,3,0,0,2,1,31,131,5,26,7,138,2,0,3,23,37,142,38,128,1,21,41,63,1,3,38,16,8,126,127,4,36
0,_Alameda,_06001207500,_207500,619,166,129,0,5,1,1,6,47,49,9,7,2,25,1,125,1,3,0,0,1,4,28,125,10,13,16,110,4,0,1,25,29,130,35,115,7,13,31,56,1,3,28,27,13,101,118,10,23
0,_Alameda,_06001207600,_207600,895,82,58,2,2,0,1,8,23,16,4,8,1,19,0,57,0,3,0,0,1,1,18,47,8,14,7,51,2,1,3,11,10,69,18,57,1,10,7,24,2,4,18,18,5,42,46,6,18
0,_Alameda,_06001207700,_207700,1370,181,140,1,2,1,7,11,57,58,9,6,4,31,1,139,1,2,1,1,3,1,31,120,9,31,14,124,3,1,5,32,37,136,41,129,8,18,28,67,3,7,32,28,26,109,120,11,32
0,_Alameda,_06001208000,_208000,849,196,156,2,2,1,2,6,85,36,4,5,1,30,1,145,2,1,0,0,1,0,39,136,8,19,7,137,6,3,1,27,39,150,56,124,8,19,38,52,1,3,39,30,7,116,129,3,42
0,_Alameda,_06001208010,_208010,1046,303,251,2,3,4,5,9,120,89,10,7,6,34,3,247,0,3,0,3,4,1,36,228,11,34,14,225,5,4,4,40,44,248,74,204,15,29,59,104,7,8,46,42,30,194,215,14,52
0,_Alameda,_06001208100,_208100,601,176,150,4,1,1,2,2,72,44,4,5,3,22,0,135,1,2,0,1,1,2,29,131,6,15,11,132,1,1,5,19,21,149,44,118,2,15,37,58,1,5,35,10,9,138,122,7,27
0,_Alameda,_06001208110,_208110,600,174,139,2,5,0,0,6,64,37,6,6,5,30,0,131,0,4,0,1,1,1,32,115,8,27,5,132,2,3,5,23,30,137,48,115,2,23,34,58,5,6,25,19,11,125,115,7,33
0,_Alameda,_06001208200,_208200,637,160,133,0,0,3,1,7,52,35,5,0,4,42,1,112,1,1,0,1,1,2,34,114,4,22,8,113,2,1,2,25,33,124,52,99,3,16,30,57,1,1,31,19,9,103,102,4,37
0,_Alameda,_06001208210,_208210,787,174,154,0,0,1,2,7,79,44,12,3,0,20,0,140,0,1,0,0,2,2,26,141,3,21,8,139,1,2,2,17,29,140,50,110,3,22,40,69,1,2,29,28,18,107,129,3,34
0,_Alameda,_06001208300,_208300,891,214,180,2,2,1,0,3,81,51,7,4,3,27,0,171,0,3,0,1,2,0,31,164,7,19,11,161,2,1,4,25,45,159,39,157,4,29,36,75,1,5,34,34,12,137,157,4,28
0,_Alameda,_06001208310,_208310,776,149,124,2,0,0,2,4,45,43,12,5,1,22,0,121,1,0,1,0,2,0,21,107,4,16,10,105,0,1,4,22,30,114,41,97,8,19,21,62,1,2,21,27,16,82,99,3,28
0,_Alameda,_06001208400,_208400,835,204,164,0,4,0,0,12,66,66,6,4,2,30,1,168,0,1,0,1,1,0,28,154,5,20,4,159,2,0,3,29,26,172,52,139,10,18,32,89,1,2,28,24,14,142,142,4,38
0,_Alameda,_06001208500,_208500,726,215,181,1,0,1,0,6,83,50,7,3,5,31,1,177,0,3,0,0,4,0,28,158,7,20,13,151,2,0,5,34,39,171,58,143,6,18,51,71,1,4,32,24,8,138,143,6,40
0,_Alameda,_06001208510,_208510,871,234,190,2,1,1,3,7,82,65,13,5,1,27,0,193,0,0,0,0,0,0,36,157,6,30,8,188,1,0,0,28,28,194,56,156,9,26,40,82,1,1,36,39,8,154,154,3,40
0,_Alameda,_06001208600,_208600,429,126,105,0,0,0,1,7,48,34,2,0,1,29,0,85,0,0,0,0,1,0,40,90,1,25,3,89,0,0,0,32,20,105,40,75,0,8,32,45,0,1,28,19,5,81,84,1,33
0,_Alameda,_06001208610,_208610,884,196,170,0,1,0,2,6,65,58,13,2,5,30,0,152,1,2,0,0,2,0,32,144,5,24,8,154,3,0,1,24,28,163,51,135,12,21,35,72,1,3,33,31,13,120,135,4,38
0,_Alameda,_06001208700,_208700,972,198,162,0,0,1,0,10,65,45,15,3,1,42,1,145,2,0,0,0,0,0,42,134,3,37,17,126,0,0,1,40,32,153,67,111,12,25,33,69,0,2,36,53,16,99,128,1,43
0,_Alameda,_06001208710,_208710,469,107,93,0,2,0,2,5,36,31,3,2,2,16,2,81,0,6,0,0,0,0,16,78,4,14,5,76,2,2,1,19,18,83,25,75,3,11,10,51,4,2,16,19,4,65,73,6,18
0,_Alameda,_06001208800,_208800,942,140,103,0,2,2,1,14,37,31,13,0,7,37,3,97,0,3,0,0,2,2,31,88,5,31,10,91,1,0,5,28,30,103,36,88,3,24,19,39,2,4,34,34,13,69,84,6,40
0,_Alameda,_06001208810,_208810,982,225,209,1,2,0,0,2,78,64,22,2,3,38,4,174,0,2,0,1,1,1,39,172,6,31,16,167,0,2,1,33,28,189,68,140,4,22,46,91,2,3,34,50,14,128,155,4,47
0,_Alameda,_06001208900,_208900,872,153,124,1,2,0,2,1,37,57,11,3,2,24,1,119,0,1,0,1,0,0,30,106,2,22,4,115,1,1,2,28,25,121,33,103,6,20,18,62,2,0,26,40,10,75,101,3,31
0,_Alameda,_06001208910,_208910,810,191,163,3,2,1,0,7,72,60,16,2,3,16,2,147,2,3,0,0,2,2,27,142,9,18,16,144,1,3,1,18,24,158,41,133,6,39,35,64,2,2,23,24,16,123,143,4,27
0,_Alameda,_06001209000,_209000,766,248,216,0,5,0,1,9,79,81,13,2,5,39,1,203,0,5,1,0,0,0,35,176,7,33,10,190,0,4,2,32,45,194,88,138,4,40,39,91,0,6,36,36,8,164,168,9,46
0,_Alameda,_06001209010,_209010,855,247,210,2,2,2,2,10,74,97,14,6,7,21,0,199,0,1,0,0,6,3,28,184,10,29,13,187,4,1,4,31,36,203,49,174,8,27,31,112,1,6,38,32,15,169,180,8,37
0,_Alameda,_06001209100,_209100,737,222,190,0,2,0,2,6,87,47,16,4,7,31,0,183,1,3,0,2,0,3,21,176,6,16,11,169,4,0,3,24,42,172,59,146,7,24,44,78,2,6,34,38,15,144,166,4,32
0,_Alameda,_06001209110,_209110,686,267,235,0,2,1,2,7,116,64,23,4,0,32,2,212,0,2,0,1,4,0,38,195,5,32,14,208,2,1,1,26,47,208,60,184,2,22,69,103,1,6,35,34,16,182,196,3,40
0,_Alameda,_06001209200,_209200,1060,321,269,2,2,2,1,11,106,79,19,6,2,65,8,222,1,2,0,1,3,1,81,227,4,46,15,231,2,0,4,53,57,249,78,223,9,35,41,125,1,7,61,65,21,189,216,5,63
0,_Alameda,_06001209300,_209300,1139,307,257,1,5,1,2,12,90,85,15,4,4,72,2,225,0,5,0,2,2,1,64,218,9,54,14,220,5,0,1,59,52,246,101,196,7,29,41,116,3,6,67,44,13,208,200,8,76
0,_Alameda,_06001209310,_209310,1179,410,336,5,2,4,0,19,164,118,11,7,5,41,1,339,1,10,0,0,9,0,42,307,12,37,14,318,4,4,7,40,73,331,114,262,6,38,69,165,2,10,53,51,26,272,296,11,51
0,_Alameda,_06001209400,_209400,959,379,322,5,6,3,4,9,164,98,11,6,6,50,2,307,0,3,0,3,7,2,49,292,14,41,12,305,6,2,4,38,64,297,110,245,10,50,77,130,1,18,56,46,23,268,281,11,57
0,_Alameda,_06001209410,_209410,647,265,234,1,5,1,0,4,107,73,9,5,4,35,0,215,0,10,0,1,3,2,29,198,9,25,11,214,1,3,7,21,35,221,62,187,6,27,48,105,2,3,41,36,24,185,200,5,35
0,_Alameda,_06001209510,_209510,969,356,292,7,5,1,1,14,124,104,17,13,0,40,2,297,1,6,0,0,6,0,36,257,18,29,16,287,5,1,7,27,68,278,90,246,7,33,74,122,5,13,45,45,32,223,250,11,51
0,_Alameda,_06001209600,_209600,847,212,182,0,1,0,5,5,60,70,11,5,3,38,3,171,0,0,0,0,3,2,28,168,6,22,10,163,1,1,4,22,50,154,58,131,6,24,29,94,3,5,31,36,8,140,149,3,42
0,_Alameda,_06001209610,_209610,673,131,115,0,0,1,2,4,39,56,6,3,1,16,2,104,0,1,0,2,1,0,19,104,3,12,7,106,2,1,1,11,13,113,38,85,7,16,11,65,1,3,10,20,12,82,93,3,21
0,_Alameda,_06001209700,_209700,847,215,175,3,0,4,1,10,73,64,11,4,3,29,1,175,0,3,0,0,6,2,26,154,8,30,9,167,2,2,5,22,37,172,59,137,1,29,27,89,2,4,38,31,21,136,154,6,33
0,_Alameda,_06001209710,_209710,835,181,131,7,0,2,3,13,55,48,14,7,7,26,3,133,0,5,0,0,2,0,34,116,9,30,10,121,7,2,5,27,27,148,50,118,7,15,24,73,1,5,33,45,16,96,111,5,39
0,_Alameda,_06001209800,_209800,767,153,126,1,0,1,1,11,44,46,12,3,4,29,3,116,0,1,1,0,1,0,29,117,4,25,12,109,2,1,2,24,18,134,40,106,5,19,28,51,0,4,33,36,8,93,106,4,32
