IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_CA_20060606_PRI_ALL_ALL_REG,USA_CA_20060606_PRI_ALL_ALL_VOTED,USA_CA_20060606_PRI_PROP81_YES,USA_CA_20060606_PRI_PROP81_NO,USA_CA_20060606_PRI_PROP82_YES,USA_CA_20060606_PRI_PROP82_NO,USA_CA_20060606_PRI_GOV_DEM_ANGELIDES,USA_CA_20060606_PRI_GOV_DEM_WESTLY,USA_CA_20060606_PRI_GOV_DEM_OTHER,USA_CA_20060606_PRI_GOV_REP_SCHWARZENEGGER,USA_CA_20060606_PRI_GOV_REP_OTHER,USA_CA_20060606_PRI_GOV_OTH_OTHER,USA_CA_20060606_PRI_LTG_DEM_GARAMENDI,USA_CA_20060606_PRI_LTG_DEM_SPEIER,USA_CA_20060606_PRI_LTG_DEM_FIGUEROA,USA_CA_20060606_PRI_LTG_REP_MCCLINTOCK,USA_CA_20060606_PRI_LTG_REP_FARMER,USA_CA_20060606_PRI_LTG_OTH_OTHER,USA_CA_20060606_PRI_SOS_DEM_BOWEN,USA_CA_20060606_PRI_SOS_DEM_ORTIZ,USA_CA_20060606_PRI_SOS_REP_MCPHERSON,USA_CA_20060606_PRI_SOS_OTH_OTHER,USA_CA_20060606_PRI_CON_DEM_DUNN,USA_CA_20060606_PRI_CON_DEM_CHIANG,USA_CA_20060606_PRI_CON_REP_HARRIS,USA_CA_20060606_PRI_CON_REP_STRICKLAND,USA_CA_20060606_PRI_CON_REP_MALDONADO,USA_CA_20060606_PRI_CON_REP_DAVIS,USA_CA_20060606_PRI_CON_REP_STRIERINGER,USA_CA_20060606_PRI_CON_OTH_OTHER,USA_CA_20060606_PRI_INS_DEM_BUSTAMANTE,USA_CA_20060606_PRI_INS_DEM_KRAFT,USA_CA_20060606_PRI_INS_REP_POIZNER,USA_CA_20060606_PRI_INS_OTH_OTHER,USA_CA_20060606_PRI_TRS_DEM_LOCKYER,USA_CA_20060606_PRI_TRS_REP_PARRISH,USA_CA_20060606_PRI_TRS_REP_RICHMAN,USA_CA_20060606_PRI_TRS_OTH_OTHER,USA_CA_20060606_PRI_ATG_DEM_DELGADILLO,USA_CA_20060606_PRI_ATG_DEM_BROWN,USA_CA_20060606_PRI_ATG_REP_POOCHIGIAN,USA_CA_20060606_PRI_ATG_OTH_OTHER,USA_CA_20060606_PRI_USS_DEM_FEINSTEIN,USA_CA_20060606_PRI_USS_DEM_CHURCH,USA_CA_20060606_PRI_USS_DEM_FERNALD,USA_CA_20060606_PRI_USS_REP_MOUNTJOY,USA_CA_20060606_PRI_USS_OTH_OTHER
0,_Alameda,_06001202400,_202400,445,26,17,7,19,6,7,5,2,2,3,0,0,7,6,4,1,0,5,4,4,0,4,7,0,1,1,0,3,0,9,1,5,0,10,2,2,0,2,9,5,0,11,0,2,4,0
0,_Alameda,_06001202410,_202410,686,88,61,20,52,33,30,19,10,4,2,7,13,26,14,4,1,5,29,19,5,7,12,29,1,4,1,0,0,7,39,12,4,7,43,2,4,7,12,40,5,7,49,0,9,4,6
0,_Alameda,_06001202500,_202500,729,64,48,13,43,19,35,9,3,3,0,5,15,24,7,1,0,4,26,14,2,5,16,22,0,1,1,0,0,4,36,9,2,4,40,0,2,4,8,36,2,4,37,1,3,2,5
0,_Alameda,_06001202510,_202510,716,130,93,27,77,48,63,27,5,13,2,5,26,59,7,15,0,5,40,32,12,5,25,45,0,8,5,0,1,5,72,8,10,5,78,6,7,5,22,68,10,5,80,2,7,11,6
0,_Alameda,_06001202520,_202520,893,109,73,28,69,36,42,23,9,8,1,5,14,35,20,9,0,5,29,28,7,5,11,40,0,4,1,3,1,6,44,17,7,5,44,4,5,6,17,48,7,5,61,0,10,6,4
0,_Alameda,_06001202540,_202540,592,46,32,9,35,8,25,9,2,3,0,3,5,18,10,3,0,3,16,17,3,3,13,17,0,0,2,0,1,3,27,4,3,2,27,3,0,3,14,16,3,3,28,2,2,3,2
0,_Alameda,_06001202600,_202600,524,49,37,10,31,16,10,12,4,1,1,4,7,11,5,2,0,4,11,7,2,4,6,14,1,0,1,0,0,4,20,5,2,4,21,0,2,4,4,19,2,4,23,1,2,2,4
0,_Alameda,_06001202620,_202620,326,30,17,12,21,7,9,4,2,2,1,1,4,7,5,3,0,1,6,7,1,1,6,6,0,2,0,0,0,1,17,0,2,1,13,2,0,1,3,14,2,1,16,0,3,2,1
0,_Alameda,_06001202700,_202700,462,31,25,6,23,8,12,9,0,4,2,1,4,12,3,6,0,1,13,3,6,1,5,9,0,1,0,0,4,1,14,3,5,1,14,5,1,1,7,12,6,1,18,0,2,5,1
0,_Alameda,_06001202710,_202710,648,163,115,39,121,37,81,39,6,5,1,9,29,76,11,8,0,9,66,33,6,9,33,60,0,3,0,0,2,10,79,29,6,9,103,4,2,9,25,91,7,9,109,0,8,7,7
0,_Alameda,_06001202900,_202900,931,364,277,65,234,119,189,82,14,17,3,13,75,175,27,17,2,16,153,54,13,16,76,136,3,2,6,1,4,16,196,36,14,18,223,8,7,16,60,210,12,17,241,8,22,11,12
0,_Alameda,_06001203100,_203100,677,355,236,94,191,147,146,122,11,28,1,9,84,175,15,26,2,8,139,69,25,8,74,121,1,6,10,2,1,8,181,62,20,9,215,9,10,7,51,217,18,8,250,1,18,18,7
0,_Alameda,_06001203200,_203200,583,323,212,77,147,157,160,89,8,34,6,5,70,164,17,37,2,5,118,67,33,5,64,115,1,12,15,0,5,5,174,52,26,5,204,13,17,5,40,215,27,5,246,2,6,24,5
0,_Alameda,_06001203300,_203300,612,322,232,67,201,106,166,76,11,21,1,9,58,158,25,23,1,9,135,57,20,9,62,114,0,7,7,1,4,8,168,44,20,8,185,12,8,8,53,189,20,8,220,3,17,18,6
0,_Alameda,_06001203400,_203400,635,299,199,86,194,92,146,89,7,17,2,14,70,144,24,16,2,12,149,43,18,12,76,98,0,3,5,1,4,11,160,47,14,11,180,9,4,11,60,170,13,11,204,2,28,11,8
0,_Alameda,_06001203500,_203500,712,349,243,73,202,129,149,93,19,26,3,13,63,154,35,21,7,12,136,64,24,12,63,135,3,9,7,3,2,12,179,34,22,12,194,12,11,13,40,203,22,10,236,2,18,27,9
0,_Alameda,_06001203800,_203800,879,399,306,66,283,103,211,97,8,11,2,27,88,200,23,11,2,26,164,76,12,27,91,146,1,4,3,1,3,27,230,38,13,27,238,5,6,27,57,250,13,24,275,4,21,12,24
0,_Alameda,_06001204000,_204000,930,306,220,61,214,77,166,62,14,9,2,23,52,148,25,9,2,19,126,53,10,18,87,90,0,4,2,1,4,20,173,29,8,18,175,5,6,18,43,174,10,20,200,5,19,9,14
0,_Alameda,_06001204100,_204100,479,167,133,22,110,47,93,35,6,1,0,12,28,85,20,1,0,12,81,34,0,11,53,54,0,0,1,0,0,11,94,18,1,12,105,1,0,12,28,102,1,11,108,1,15,1,8
0,_Alameda,_06001204210,_204210,678,192,141,39,119,61,88,46,7,9,1,5,47,65,21,13,0,6,78,37,10,6,42,62,0,4,3,1,4,6,94,28,12,6,114,8,2,6,36,100,12,6,119,1,10,11,5
0,_Alameda,_06001204220,_204220,605,86,64,17,63,20,35,12,6,3,1,11,12,27,7,3,1,10,25,17,3,11,18,26,0,0,1,0,2,10,42,2,3,10,42,1,2,10,13,39,3,10,39,1,9,4,10
0,_Alameda,_06001204300,_204300,1091,369,287,56,238,111,197,85,11,9,1,20,77,153,43,9,1,19,173,66,10,20,86,129,2,0,5,1,0,19,203,39,7,17,221,5,1,19,64,212,7,17,246,3,25,8,20
0,_Alameda,_06001204310,_204310,751,294,226,46,213,66,154,57,9,3,3,23,50,128,30,4,1,22,123,51,4,23,69,88,0,1,2,0,1,24,154,19,3,24,158,2,1,25,44,154,3,24,176,2,20,4,20
0,_Alameda,_06001204510,_204510,738,178,135,34,119,55,94,36,6,4,2,7,38,65,24,6,1,7,60,49,4,7,41,65,0,4,1,0,2,7,94,18,4,7,102,4,1,7,32,96,6,7,113,1,15,5,8
0,_Alameda,_06001204600,_204600,713,123,93,21,95,24,61,24,10,1,2,8,26,48,16,2,1,7,62,25,3,8,28,51,0,2,1,0,0,9,81,3,3,7,77,2,2,8,25,61,3,6,76,0,11,1,9
0,_Alameda,_06001204800,_204800,526,82,55,21,53,25,37,24,5,1,2,2,14,32,10,1,2,2,23,29,2,2,23,30,0,3,0,0,0,2,44,12,3,2,50,3,0,2,17,45,3,2,55,4,3,3,2
0,_Alameda,_06001204900,_204900,750,80,52,25,56,22,30,10,9,8,0,5,12,20,18,7,0,5,21,27,7,5,17,26,0,4,3,0,0,5,41,6,7,5,43,3,4,5,14,33,6,5,44,3,5,7,5
0,_Alameda,_06001204910,_204910,899,32,23,9,23,9,14,11,0,2,0,0,4,9,10,1,1,0,9,9,1,0,9,8,1,0,1,0,0,0,19,2,1,0,23,0,1,0,9,11,2,0,23,1,2,1,0
0,_Alameda,_06001204920,_204920,307,31,25,3,23,6,16,4,2,1,0,2,7,16,0,1,0,2,9,11,1,2,10,9,0,1,0,0,0,2,17,4,1,2,17,0,1,2,8,13,1,2,17,1,5,1,2
0,_Alameda,_06001205000,_205000,619,294,205,62,170,111,132,101,8,15,2,3,46,176,20,14,3,3,124,60,15,3,59,128,1,6,5,0,3,4,160,50,14,4,187,5,9,4,40,188,14,3,221,3,10,13,2
0,_Alameda,_06001205100,_205100,734,385,268,91,225,144,187,117,9,22,3,6,84,192,30,22,1,7,168,65,18,8,88,124,1,5,8,0,3,6,201,60,19,8,247,9,10,6,55,255,19,6,300,1,11,17,5
0,_Alameda,_06001205200,_205200,776,417,296,86,241,159,209,121,9,28,2,14,110,209,18,26,1,14,173,72,24,12,75,152,1,11,8,3,0,13,223,59,20,11,262,8,12,13,61,271,21,12,321,3,14,20,12
0,_Alameda,_06001205500,_205500,753,420,307,93,246,169,204,140,3,17,3,3,86,225,26,16,4,4,206,60,15,3,88,156,0,5,9,0,2,5,232,57,12,5,269,10,4,5,58,271,14,5,311,6,18,12,4
0,_Alameda,_06001205600,_205600,1112,585,422,122,327,232,298,157,15,24,2,26,115,315,22,24,2,23,276,94,22,22,129,213,0,5,10,0,6,22,317,83,17,24,359,13,6,22,76,377,15,22,424,9,19,16,24
0,_Alameda,_06001205700,_205700,813,423,291,104,248,164,219,121,9,22,4,6,101,215,24,23,3,6,192,70,21,9,102,164,1,7,8,1,3,8,252,46,17,7,283,7,11,7,63,276,20,7,324,4,10,19,6
0,_Alameda,_06001205800,_205800,648,361,230,105,210,134,189,92,10,20,2,16,61,198,21,16,1,10,156,61,13,10,77,126,1,7,3,1,2,10,206,40,13,11,228,9,5,10,73,209,12,9,254,5,14,12,12
0,_Alameda,_06001205900,_205900,935,500,347,114,312,163,256,135,16,29,2,15,116,240,26,31,3,15,228,99,27,16,122,196,0,9,13,0,3,16,298,60,24,15,317,10,16,15,80,301,25,15,346,6,21,24,14
0,_Alameda,_06001206000,_206000,564,310,233,62,195,107,139,108,8,17,3,9,59,169,24,19,2,8,143,56,14,9,59,122,0,5,11,0,1,8,186,32,16,8,196,4,13,7,47,194,16,7,230,6,8,14,8
0,_Alameda,_06001206100,_206100,1010,513,373,107,300,194,262,149,19,23,2,12,107,273,34,22,1,11,227,110,20,14,131,179,0,6,8,0,6,11,290,72,16,9,330,11,8,9,75,332,19,9,373,1,24,20,10
0,_Alameda,_06001206200,_206200,588,289,222,48,176,104,140,79,11,12,2,8,72,127,15,11,2,8,136,46,10,8,62,109,0,4,3,0,0,8,165,39,8,8,179,3,2,8,46,174,8,8,204,3,16,7,8
0,_Alameda,_06001206400,_206400,656,268,204,49,184,73,133,80,10,9,1,13,44,139,25,9,1,12,119,46,9,14,54,99,2,2,5,0,0,14,153,31,8,14,160,5,4,14,60,140,10,12,182,3,19,8,12
0,_Alameda,_06001206500,_206500,728,274,200,62,186,78,133,63,10,4,1,17,38,125,28,4,1,17,112,53,5,16,61,96,0,0,4,0,0,16,148,24,4,16,146,2,2,16,49,145,4,16,182,5,13,4,14
0,_Alameda,_06001206700,_206700,666,252,174,53,169,62,121,43,17,14,1,20,38,112,30,14,1,18,103,50,12,18,56,82,1,3,4,0,6,19,131,27,12,19,149,8,6,18,32,138,12,17,153,1,18,12,22
0,_Alameda,_06001206800,_206800,760,251,189,44,175,65,109,71,7,10,0,15,54,100,20,9,0,15,97,52,6,14,51,90,1,3,5,1,0,14,140,26,5,14,145,4,3,14,49,122,4,13,155,4,16,4,12
0,_Alameda,_06001207000,_207000,954,506,383,95,341,146,274,106,14,16,5,27,100,238,39,17,3,27,221,73,16,27,101,167,1,6,6,0,4,27,270,57,14,24,298,12,5,26,70,283,13,24,337,2,16,13,25
0,_Alameda,_06001207100,_207100,492,293,224,52,195,88,156,70,8,10,1,18,63,132,26,11,1,12,123,59,12,14,63,114,0,2,3,0,3,15,167,24,10,15,186,1,5,15,58,161,11,15,205,5,6,9,14
0,_Alameda,_06001207200,_207200,529,299,219,53,193,92,145,81,4,11,2,27,62,141,21,12,0,26,118,53,12,26,58,113,0,5,2,3,1,27,157,39,11,26,183,8,4,27,42,173,11,25,199,3,13,9,23
0,_Alameda,_06001207300,_207300,555,224,174,40,168,46,108,44,8,7,0,15,32,102,14,6,1,16,85,36,5,16,48,71,0,0,2,0,1,16,122,17,2,17,129,2,1,16,25,123,2,15,137,0,9,2,16
0,_Alameda,_06001207500,_207500,548,195,143,44,129,60,95,43,8,10,0,14,33,93,15,9,0,14,79,49,8,15,45,79,0,3,0,0,7,14,102,27,7,12,120,3,6,15,36,98,7,13,121,5,11,8,12
0,_Alameda,_06001207600,_207600,718,116,79,27,77,31,55,15,11,9,2,4,20,47,10,11,1,3,35,27,11,3,23,44,0,3,7,0,1,2,55,14,9,2,64,4,4,2,21,52,8,2,70,3,7,8,3
0,_Alameda,_06001207700,_207700,865,234,165,54,158,64,97,64,14,7,4,14,52,73,37,10,0,14,78,57,8,15,55,81,0,3,1,0,4,14,123,25,8,14,131,2,6,14,50,110,9,13,143,6,13,7,13
0,_Alameda,_06001208000,_208000,544,193,138,43,139,46,83,34,10,6,2,14,33,78,12,6,1,12,71,24,4,11,41,61,1,1,0,0,3,13,84,25,4,13,91,3,2,11,37,79,4,11,104,1,13,2,15
0,_Alameda,_06001208010,_208010,1012,413,299,84,295,91,193,105,24,12,6,24,91,182,40,13,2,24,165,99,11,25,96,161,0,5,2,4,4,26,232,45,9,24,250,9,4,25,69,224,10,23,275,8,18,9,21
0,_Alameda,_06001208100,_208100,520,215,171,30,168,37,129,33,7,5,0,21,38,102,15,5,0,19,101,37,5,20,53,77,0,3,1,1,0,19,132,18,5,19,126,2,3,20,37,117,5,19,129,3,15,5,16
0,_Alameda,_06001208110,_208110,547,247,175,47,157,79,121,62,16,5,3,19,51,102,35,8,0,17,100,53,7,16,56,89,0,2,3,0,0,18,132,33,6,17,149,6,1,16,49,130,6,17,162,2,14,6,15
0,_Alameda,_06001208200,_208200,558,242,187,37,170,64,123,56,5,6,4,18,44,103,22,8,1,16,92,48,7,16,49,90,0,2,2,2,3,16,130,27,9,16,134,5,4,15,45,121,9,16,155,4,14,7,16
0,_Alameda,_06001208210,_208210,627,184,139,25,137,40,106,27,15,3,0,16,27,90,17,2,1,11,79,38,3,12,43,66,0,1,0,0,0,13,119,12,3,12,114,0,1,11,33,103,3,13,135,2,6,2,11
0,_Alameda,_06001208300,_208300,764,299,210,63,205,79,165,71,12,1,4,14,56,151,25,3,2,16,122,70,2,16,68,121,0,1,2,0,0,14,179,41,1,14,193,2,1,14,65,159,1,15,203,7,20,2,14
0,_Alameda,_06001208310,_208310,556,197,118,56,125,55,96,52,9,2,0,15,45,78,28,3,0,12,78,60,1,12,56,80,1,1,0,0,0,11,107,37,1,12,132,0,2,13,54,91,1,11,125,5,14,2,10
0,_Alameda,_06001208400,_208400,704,233,164,45,173,48,128,40,9,6,4,21,51,94,26,8,2,20,102,47,7,22,55,81,1,1,4,0,2,22,131,32,8,22,141,4,5,22,53,113,8,22,144,4,20,7,20
0,_Alameda,_06001208500,_208500,475,212,159,32,148,51,111,47,10,0,4,20,33,106,17,3,1,18,104,33,2,16,64,63,0,1,1,1,1,15,119,20,2,16,122,1,2,15,35,129,2,15,137,3,15,2,11
0,_Alameda,_06001208510,_208510,907,340,230,77,230,85,163,78,20,4,0,19,51,149,47,4,0,18,140,64,4,19,85,129,0,0,3,1,0,20,179,48,3,19,210,2,2,18,88,162,3,20,215,3,27,3,17
0,_Alameda,_06001208600,_208600,398,152,112,31,100,43,81,25,7,2,2,22,22,77,11,2,1,21,69,25,3,21,33,58,1,1,1,0,0,22,84,12,3,20,88,0,3,19,33,70,3,20,91,3,13,3,19
0,_Alameda,_06001208610,_208610,926,316,230,63,229,79,165,64,22,3,0,21,70,132,31,3,0,22,127,69,2,21,77,110,0,1,2,0,0,22,182,37,2,24,184,1,2,23,71,158,1,23,190,4,29,2,21
0,_Alameda,_06001208700,_208700,738,244,169,45,186,41,136,41,22,0,1,17,48,111,29,1,0,16,104,60,2,15,82,70,0,1,0,0,0,15,140,39,1,14,151,1,0,14,62,131,2,14,168,7,14,1,15
0,_Alameda,_06001208710,_208710,411,120,86,26,82,32,57,20,4,1,0,11,18,51,13,1,0,9,50,25,1,8,36,42,0,0,0,0,0,8,64,14,1,9,68,0,0,7,25,53,1,6,67,2,10,1,9
0,_Alameda,_06001208800,_208800,729,180,108,47,121,50,85,42,15,3,0,11,40,72,23,3,0,11,66,49,3,10,56,58,0,2,0,1,0,10,100,26,3,9,117,2,1,9,44,91,2,10,106,5,21,2,10
0,_Alameda,_06001208810,_208810,759,235,156,57,174,50,109,67,19,4,2,8,49,114,32,5,0,8,116,62,5,8,91,87,0,0,2,1,1,8,140,44,5,8,183,3,2,8,65,128,3,7,170,10,9,4,6
0,_Alameda,_06001208900,_208900,735,245,143,58,166,58,125,64,12,6,0,12,59,101,27,6,1,11,109,50,6,13,66,95,0,1,3,1,1,12,131,47,5,12,162,2,4,12,75,113,5,10,176,6,13,5,12
0,_Alameda,_06001208910,_208910,719,233,143,57,163,52,129,55,17,3,0,11,44,112,34,3,0,9,115,50,3,8,64,100,0,1,0,0,2,9,135,35,2,9,163,3,0,9,73,116,2,9,166,8,18,2,9
0,_Alameda,_06001209000,_209000,658,285,188,70,220,47,145,60,11,0,0,21,48,134,30,0,0,21,106,72,0,19,69,116,0,0,0,0,0,20,150,42,0,19,174,0,0,19,72,128,0,20,190,7,15,0,21
0,_Alameda,_06001209010,_209010,721,280,196,62,186,78,158,71,10,8,2,12,60,135,30,7,2,9,129,67,5,11,95,93,4,2,0,0,1,10,163,42,5,10,190,4,3,9,81,138,5,10,190,5,18,4,12
0,_Alameda,_06001209100,_209100,658,275,194,61,197,67,148,69,7,4,2,16,63,129,21,4,2,16,138,49,5,15,79,106,0,1,5,0,0,15,163,46,5,15,193,3,3,15,56,147,3,15,198,7,11,3,16
0,_Alameda,_06001209110,_209110,608,320,222,74,221,89,168,84,11,2,4,14,70,156,26,4,2,14,144,67,5,15,101,110,0,1,2,0,1,16,198,30,3,15,214,3,1,15,65,168,4,14,203,5,32,4,13
0,_Alameda,_06001209200,_209200,884,384,277,70,269,94,188,94,12,7,0,25,57,190,31,8,0,24,150,87,8,24,93,135,0,4,3,0,1,24,208,46,8,24,242,6,2,25,65,210,8,23,239,6,22,8,20
0,_Alameda,_06001209300,_209300,1018,387,292,75,280,96,184,90,17,10,3,32,79,166,31,12,0,30,135,81,11,31,83,141,0,1,5,0,4,29,199,47,11,29,221,8,2,28,79,190,11,30,231,9,21,10,28
0,_Alameda,_06001209310,_209310,1094,514,341,129,326,162,277,130,15,7,3,33,123,234,40,8,3,30,221,96,5,33,125,191,0,1,3,0,3,31,314,43,4,29,324,3,4,33,91,304,5,30,349,8,31,4,27
0,_Alameda,_06001209400,_209400,917,493,365,91,347,110,246,133,21,16,1,21,94,258,41,14,2,18,194,117,12,20,100,201,0,8,4,1,0,18,288,54,11,20,295,6,5,17,74,295,11,19,333,0,35,13,18
0,_Alameda,_06001209410,_209410,643,319,231,62,247,61,175,71,8,8,3,28,64,156,18,12,2,25,153,54,12,25,82,114,2,1,4,1,5,26,180,40,12,27,198,6,6,27,57,177,12,25,215,8,11,12,25
0,_Alameda,_06001209510,_209510,938,442,318,95,304,126,221,94,16,14,1,26,80,190,47,10,5,20,148,100,12,18,106,138,0,4,7,0,2,23,234,50,12,20,258,8,6,21,81,237,11,21,288,4,25,10,20
0,_Alameda,_06001209600,_209600,732,279,186,76,192,80,131,71,13,7,4,16,47,120,40,10,1,13,97,82,8,13,80,95,1,1,4,0,5,13,165,30,8,15,183,5,4,15,75,133,8,13,184,7,19,6,13
0,_Alameda,_06001209610,_209610,615,191,144,33,137,48,85,53,9,6,2,16,33,88,22,7,1,15,68,45,7,16,52,65,0,2,1,1,1,15,104,24,7,16,132,2,3,16,35,108,8,16,132,5,6,7,13
0,_Alameda,_06001209700,_209700,728,288,187,77,202,74,149,69,17,5,1,18,55,117,47,6,0,16,115,67,4,17,81,110,0,0,4,0,0,17,167,40,5,15,183,0,4,16,67,160,3,14,199,8,19,5,8
0,_Alameda,_06001209710,_209710,733,250,166,61,178,56,123,54,12,6,2,15,47,96,35,6,2,16,106,61,7,16,61,98,0,3,2,0,2,17,141,35,7,16,151,4,4,17,51,134,8,16,157,6,19,6,13
0,_Alameda,_06001209800,_209800,682,237,174,40,176,49,122,62,11,4,0,6,42,111,36,3,0,9,112,57,2,9,79,86,0,0,0,0,2,8,154,25,2,8,153,2,0,8,61,115,2,8,170,5,10,2,8
